noise,filter,seed,snr_in_db,snr_out_db,delta_snr_db,mse_in,mse_out,hurst_in,hurst_out,alpha_in,alpha_out
N1,F0,0,-11.17194364519679,-11.17194364519679,0.0,0.2519428402820923,0.2519428402820923,0.7020576250655776,0.7020576250655776,1.9517833233174264,1.9517833233174264
N1,F1,0,-11.17194364519679,0.4204601723586124,11.592403817555404,0.2519428402820923,0.01755729283076715,0.7020576250655776,1.146495124075409,1.9517833233174264,1.9910449974038615
N1,F2,0,-11.17194364519679,1.4087707860067267,12.580714431203518,0.2519428402820923,0.014007529147166083,0.7020576250655776,1.3087045576914822,1.9517833233174264,1.8013341819141175
N1,F3,0,-11.17194364519679,0.44559507188082986,11.61753871707762,0.2519428402820923,0.01743378820404122,0.7020576250655776,1.7865898992603066,1.9517833233174264,2.0
N1,F4,0,-11.17194364519679,0.14133386823829297,11.313277513435084,0.2519428402820923,0.01872196136239337,0.7020576250655776,1.0915148181745997,1.9517833233174264,2.0
N1,F6,0,-11.17194364519679,0.39928910642782234,11.571232751624613,0.2519428402820923,0.01762003800050782,0.7020576250655776,1.8446990813068447,1.9517833233174264,2.0
N1,F7,0,-11.17194364519679,-0.11477510818868122,11.05716853700811,0.2519428402820923,0.01999424228155393,0.7020576250655776,0.9619069234902664,1.9517833233174264,1.8918444732469069
N1,F8,0,-11.17194364519679,1.4087707860067267,12.580714431203518,0.2519428402820923,0.014007529147166083,0.7020576250655776,1.3087045576914822,1.9517833233174264,1.8013341819141175
N1,F5,0,-11.17194364519679,0.6961089986203227,11.868052643817114,0.2519428402820923,0.01672441903447578,0.7020576250655776,1.0732527222502086,1.9517833233174264,2.0
N1,F9,0,-11.17194364519679,3.9588620860302575,15.13080573122705,0.2519428402820923,0.007801486426222871,0.7020576250655776,1.395174234635444,1.9517833233174264,1.8714628232470643
N1,F0,1,-11.163066733988678,-11.163066733988678,0.0,0.24483498838813889,0.24483498838813889,0.7270009957492954,0.7270009957492954,2.0,2.0
N1,F1,1,-11.163066733988678,1.2173678455787245,12.380434579567403,0.24483498838813889,0.014188925389984381,0.7270009957492954,1.1662678320380646,2.0,1.9174173212173407
N1,F2,1,-11.163066733988678,2.3617371063189947,13.524803840307673,0.24483498838813889,0.010930905756394691,0.7270009957492954,1.3498594397516888,2.0,2.0
N1,F3,1,-11.163066733988678,0.5248473165505008,11.68791405053918,0.24483498838813889,0.016636060781836645,0.7270009957492954,1.880943905390004,2.0,2.0
N1,F4,1,-11.163066733988678,-0.005392026122651417,11.157674707866027,0.24483498838813889,0.01877655700892422,0.7270009957492954,1.1245135416189418,2.0,2.0
N1,F6,1,-11.163066733988678,0.5302790682495477,11.693345802238227,0.24483498838813889,0.01661533122359053,0.7270009957492954,1.8796636960728783,2.0,2.0
N1,F7,1,-11.163066733988678,0.08014230909340658,11.243209043082086,0.24483498838813889,0.018411594987894415,0.7270009957492954,0.9991492545919681,2.0,1.8672036302116126
N1,F8,1,-11.163066733988678,2.3617371063189947,13.524803840307673,0.24483498838813889,0.010930905756394691,0.7270009957492954,1.3498594397516888,2.0,2.0
N1,F5,1,-11.163066733988678,1.200202695278326,12.363269429267005,0.24483498838813889,0.01421551886878782,0.7270009957492954,1.100411737598562,2.0,1.887140849984791
N1,F9,1,-11.163066733988678,4.992886310300827,16.155953044289504,0.24483498838813889,0.006002384268119292,0.7270009957492954,1.445957412812572,2.0,2.0
