domain,series,filter,optimizer,model,seed,t_conv,conv,slope,floor_p50,floor_p10,floor_p90,auc,final_grad,holdout,alpha_hat,hurst_hat
binance_crypto_1h,BTCUSDT,F0,sgd,regression,0,95,1,-0.8428890483751561,0.00012572060629678877,3.0901672177733695e-05,0.00026637746039253295,-3.909552243387546,5.7994415355285736e-05,0.8654391966283322,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,sgd,regression,1,917,1,0.376595316829664,8.964560479706132e-05,3.3563062177175094e-05,0.00022165387491087336,-3.9593032936627877,0.0001572106520957447,0.8656596021176621,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,sgd,regression,2,335,1,-1.004983517806352,0.00011218563877639084,5.199308559956402e-05,0.00021984512290285402,-3.9242181507425262,8.222432162703249e-05,0.8656738013473779,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,sgd,regression,3,120,1,2.0545935271034015,0.00011543937076407137,4.3042598446088365e-05,0.0002740057249092264,-3.9205345249960937,0.00011760388992903684,0.8653701636511227,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,sgd,classification,0,1163,1,-0.8311356679962683,7.876382510135827e-06,3.1261101291986663e-06,2.435987123154258e-05,-4.648540921766222,2.1666079470988705e-05,0.5377609108159392,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,sgd,classification,1,1291,1,2.229753654423793,1.6571799506535074e-05,6.240978932031601e-06,2.624141930049288e-05,-4.535055896656498,1.538219879075393e-05,0.5434535104364326,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,sgd,classification,2,1581,1,-1.962713012907468,1.714069099460862e-05,1.2653693675881446e-05,2.229031586447576e-05,-4.463339646055584,1.7007189178836765e-05,0.5347248576850094,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,sgd,classification,3,1071,1,2.0405281742212176,1.2264832046646832e-05,5.93550797911778e-06,3.4499564646944784e-05,-4.680873747116629,3.755744865788263e-06,0.5370018975332068,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,regression,0,4000,0,0.17035129443650926,0.0022840570672076448,0.0008485395610505845,0.00458155547768913,-2.7001234949311748,0.0006908859536047582,0.8652889517153852,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,regression,1,817,1,-0.4865707051902355,0.0020932159087391324,0.0008263690165533837,0.0042807443293226095,-2.7052867116541153,0.0017735148886635968,0.8657387801250112,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,regression,2,4000,0,0.052633350661584505,0.0023230357211939975,0.000834814026729023,0.004819048331366078,-2.6955922883129997,0.0013520961527493224,0.8640885425216762,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,regression,3,334,1,0.7851057765171919,0.0020383125375052205,0.0007660114270755622,0.004553425467095405,-2.6903146794533397,0.0006797034734868724,0.8658024443464442,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,classification,0,3000,1,-1.1858762884506606,0.0002521985564433089,8.616033422262267e-05,0.0007137707805393882,-3.5520798245902476,6.736117955372422e-05,0.5316888045540797,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,classification,1,1230,1,0.6798711046257414,0.00023466640742787366,9.479736721026081e-05,0.0004956059931790982,-3.5979185571293364,0.00017189932844299672,0.5438330170777989,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,classification,2,2555,1,-0.34346494156527496,0.0002801071057202647,0.00013798475205654178,0.0005880022114565849,-3.577757088428339,0.0002999692318899972,0.538899430740038,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F0,adam,classification,3,4000,0,1.2334682259035603,0.0002600000248237749,0.0001054142568680002,0.0005735141055741153,-3.5776879004265267,0.0002621854058878505,0.5426944971537002,1.4590953378795988,0.04879200266929503
binance_crypto_1h,BTCUSDT,F4,sgd,regression,0,824,1,-4.276620855416086,1.7471421306561702e-05,1.2678101268292808e-05,2.7691808171916826e-05,-3.840441179181323,1.426831479998937e-05,0.9195655501418671,1.4590953378795988,0.04879200266929503
