ticker,day,filter,rv_est,rv_bench,rel_err
AAPL,2026-05-07,F0 raw,0.00015205306604886782,0.0001651143232444575,0.07910432565109464
AAPL,2026-05-07,F1 MA,3.0706264814505286e-05,0.0001651143232444575,0.8140302778636376
AAPL,2026-05-07,F2 Kalman,7.3763760072212705e-06,0.0001651143232444575,0.9553256443034303
AAPL,2026-05-07,F3 Wavelet,5.403888345776488e-05,0.0001651143232444575,0.6727183784185795
AAPL,2026-05-07,F4 Median,4.7527736676201385e-05,0.0001651143232444575,0.7121525513820208
AAPL,2026-05-07,FA online,3.219234842959447e-05,0.0001651143232444575,0.8050299465423568
AAPL,2026-05-08,F0 raw,0.00029013049003838865,0.0002759452053880213,0.051406164605834206
AAPL,2026-05-08,F1 MA,7.737389751226356e-05,0.0002759452053880213,0.719604124291763
AAPL,2026-05-08,F2 Kalman,2.0904908229474672e-05,0.0002759452053880213,0.9242425386587921
AAPL,2026-05-08,F3 Wavelet,0.0002901304900383702,0.0002759452053880213,0.05140616460576741
AAPL,2026-05-08,F4 Median,0.00019850018206931638,0.0002759452053880213,0.2806536290775748
AAPL,2026-05-08,FA online,7.095074089319245e-05,0.0002759452053880213,0.7428810520790718
AAPL,2026-05-11,F0 raw,0.00012316367842933918,0.00011534559692161453,0.06777962675972445
AAPL,2026-05-11,F1 MA,2.938561766685251e-05,0.00011534559692161453,0.745238496734105
AAPL,2026-05-11,F2 Kalman,7.997836463969678e-06,0.00011534559692161453,0.9306619699631468
AAPL,2026-05-11,F3 Wavelet,0.00012316367842936675,0.00011534559692161453,0.06777962675996344
AAPL,2026-05-11,F4 Median,5.794541928822325e-05,0.00011534559692161453,0.49763648691678064
AAPL,2026-05-11,FA online,3.4528285435490374e-05,0.00011534559692161453,0.7006536325876853
AAPL,2026-05-12,F0 raw,0.0001309535294799407,8.32772223451571e-05,0.5725011688932268
AAPL,2026-05-12,F1 MA,1.658146932999285e-05,8.32772223451571e-05,0.8008882997890103
AAPL,2026-05-12,F2 Kalman,2.5441756408889677e-06,8.32772223451571e-05,0.9694493215642546
AAPL,2026-05-12,F3 Wavelet,0.0001309535294799238,8.32772223451571e-05,0.5725011688930239
AAPL,2026-05-12,F4 Median,3.3487952510701606e-05,8.32772223451571e-05,0.5978738054938373
AAPL,2026-05-12,FA online,1.573241610989336e-05,8.32772223451571e-05,0.8110838033875867
AAPL,2026-05-13,F0 raw,0.0001682669391680731,0.00017191120404148514,0.021198530332744454
AAPL,2026-05-13,F1 MA,2.8434613598923007e-05,0.00017191120404148514,0.8345970889014235
AAPL,2026-05-13,F2 Kalman,7.092955510237578e-06,0.00017191120404148514,0.9587405861660656
AAPL,2026-05-13,F3 Wavelet,0.00016826693916805344,0.00017191120404148514,0.02119853033285876
AAPL,2026-05-13,F4 Median,5.7020715617496684e-05,0.00017191120404148514,0.6683129762517597
AAPL,2026-05-13,FA online,4.06211113143683e-05,0.00017191120404148514,0.763708761503609
AAPL,2026-05-14,F0 raw,0.00014716336532697685,0.00020228082221857255,0.27247989348213675
AAPL,2026-05-14,F1 MA,2.5387166587235186e-05,0.00020228082221857255,0.8744954350650042
AAPL,2026-05-14,F2 Kalman,4.540280702240289e-06,0.00020228082221857255,0.9775545667036377
AAPL,2026-05-14,F3 Wavelet,0.00014716336532693378,0.00020228082221857255,0.2724798934823497
AAPL,2026-05-14,F4 Median,4.23500865511681e-05,0.00020228082221857255,0.7906371642814111
AAPL,2026-05-14,FA online,3.2029124390116894e-05,0.00020228082221857255,0.8416601038159309
AAPL,2026-05-15,F0 raw,0.00017935095044646824,0.00013097998816098526,0.3693004020280645
AAPL,2026-05-15,F1 MA,2.5628191731269065e-05,0.00013097998816098526,0.8043350584230479
AAPL,2026-05-15,F2 Kalman,6.961482633033169e-06,0.00013097998816098526,0.9468507920120063
AAPL,2026-05-15,F3 Wavelet,0.000179350950446472,0.00013097998816098526,0.3693004020280933
AAPL,2026-05-15,F4 Median,4.824681853072998e-05,0.00013097998816098526,0.6316474050109804
AAPL,2026-05-15,FA online,3.0100338829096385e-05,0.00013097998816098526,0.7701913150877631
BTC-USD,2026-05-11,F0 raw,0.00029161406857056393,0.0003023408561858227,0.03547912032327499
BTC-USD,2026-05-11,F1 MA,6.0565840155686395e-05,0.0003023408561858227,0.7996769575909984
BTC-USD,2026-05-11,F2 Kalman,1.5157244610602389e-05,0.0003023408561858227,0.9498670315291872
BTC-USD,2026-05-11,F3 Wavelet,4.112185636130996e-05,0.0003023408561858227,0.8639884239262856
BTC-USD,2026-05-11,F4 Median,0.00011637579404546032,0.0003023408561858227,0.6150841288418717
BTC-USD,2026-05-11,FA online,7.175330951294189e-05,0.0003023408561858227,0.7626741207981453
BTC-USD,2026-05-12,F0 raw,0.0002129396165840414,0.00023902593942693915,0.10913594945150841
BTC-USD,2026-05-12,F1 MA,4.62268267113081e-05,0.00023902593942693915,0.8066033049712673
BTC-USD,2026-05-12,F2 Kalman,9.69011584238077e-06,0.00023902593942693915,0.9594599821859808
BTC-USD,2026-05-12,F3 Wavelet,3.225893593541424e-05,0.00023902593942693915,0.8650400202892015
BTC-USD,2026-05-12,F4 Median,8.487866677630329e-05,0.00023902593942693915,0.6448976752071406
BTC-USD,2026-05-12,FA online,4.6086120442723244e-05,0.00023902593942693915,0.8071919702388203
BTC-USD,2026-05-13,F0 raw,0.00019695685602585966,0.00018704765046222564,0.05297690475740664
BTC-USD,2026-05-13,F1 MA,4.0548312188801115e-05,0.00018704765046222564,0.7832193449711904
BTC-USD,2026-05-13,F2 Kalman,1.1607573359525482e-05,0.00018704765046222564,0.9379432282049989
BTC-USD,2026-05-13,F3 Wavelet,2.8610408762137384e-05,0.00018704765046222564,0.847042137704289
BTC-USD,2026-05-13,F4 Median,7.996339791568323e-05,0.00018704765046222564,0.5724971807019202
BTC-USD,2026-05-13,FA online,4.224312266916976e-05,0.00018704765046222564,0.7741584961651213
BTC-USD,2026-05-14,F0 raw,0.00032813515629039893,0.0003982647443601954,0.1760878638214846
BTC-USD,2026-05-14,F1 MA,8.120488369458798e-05,0.0003982647443601954,0.7961032583362556
BTC-USD,2026-05-14,F2 Kalman,1.9858743918407797e-05,0.0003982647443601954,0.9501368268227947
BTC-USD,2026-05-14,F3 Wavelet,6.291081859129897e-05,0.0003982647443601954,0.8420376910530607
BTC-USD,2026-05-14,F4 Median,0.00014078398575134097,0.0003982647443601954,0.6465065317857654
BTC-USD,2026-05-14,FA online,9.607418475647898e-05,0.0003982647443601954,0.7587680403124302
BTC-USD,2026-05-15,F0 raw,0.00031721788123875597,0.0003011168339926287,0.05347109636029661
BTC-USD,2026-05-15,F1 MA,6.434918489053947e-05,0.0003011168339926287,0.786298281509845
BTC-USD,2026-05-15,F2 Kalman,1.7634963029847773e-05,0.0003011168339926287,0.9414348151977466
BTC-USD,2026-05-15,F3 Wavelet,5.44799810919159e-05,0.0003011168339926287,0.8190736121606221
BTC-USD,2026-05-15,F4 Median,0.0001201606996424053,0.0003011168339926287,0.6009499102087835
BTC-USD,2026-05-15,FA online,7.770373293252425e-05,0.0003011168339926287,0.7419482268652359
BTC-USD,2026-05-16,F0 raw,0.00013576748425339272,0.00013146784156719583,0.03270490056687553
BTC-USD,2026-05-16,F1 MA,2.2776365963858054e-05,0.00013146784156719583,0.826753328476785
BTC-USD,2026-05-16,F2 Kalman,5.139378828504538e-06,0.00013146784156719583,0.9609077112148547
BTC-USD,2026-05-16,F3 Wavelet,2.1062153833508678e-05,0.00013146784156719583,0.8397923508712708
BTC-USD,2026-05-16,F4 Median,4.271531423770128e-05,0.00013146784156719583,0.6750892558324338
BTC-USD,2026-05-16,FA online,2.3322953508132803e-05,0.00013146784156719583,0.8225957524661118
BTC-USD,2026-05-17,F0 raw,7.297838124301087e-05,5.6821934379604577e-05,0.2843346858885786
BTC-USD,2026-05-17,F1 MA,1.3025467628167678e-05,5.6821934379604577e-05,0.7707669094622905
BTC-USD,2026-05-17,F2 Kalman,2.899857317289708e-06,5.6821934379604577e-05,0.9489658817681755
BTC-USD,2026-05-17,F3 Wavelet,7.785088895272155e-06,5.6821934379604577e-05,0.8629914841817405
BTC-USD,2026-05-17,F4 Median,2.4679040862990927e-05,5.6821934379604577e-05,0.5656775656717327
BTC-USD,2026-05-17,FA online,1.336211999204745e-05,5.6821934379604577e-05,0.7648422191546581
ETH-USD,2026-05-11,F0 raw,0.0004024594701756012,0.00038082201587609244,0.056817761047063216
ETH-USD,2026-05-11,F1 MA,7.826937450561579e-05,0.00038082201587609244,0.7944725587212842
ETH-USD,2026-05-11,F2 Kalman,1.8249917117990886e-05,0.00038082201587609244,0.9520775681101146
ETH-USD,2026-05-11,F3 Wavelet,5.5612158473054356e-05,0.00038082201587609244,0.8539681106799539
ETH-USD,2026-05-11,F4 Median,0.0001528087448533894,0.00038082201587609244,0.5987397301549168
ETH-USD,2026-05-11,FA online,9.697899279420614e-05,0.00038082201587609244,0.7453429981690973
ETH-USD,2026-05-12,F0 raw,0.0003646947212623329,0.0003481147335366035,0.04762794024053008
ETH-USD,2026-05-12,F1 MA,7.21436378695872e-05,0.0003481147335366035,0.7927590218987343
ETH-USD,2026-05-12,F2 Kalman,1.516952220632961e-05,0.0003481147335366035,0.956423785766785
ETH-USD,2026-05-12,F3 Wavelet,4.838329051382696e-05,0.0003481147335366035,0.8610133790595808
ETH-USD,2026-05-12,F4 Median,0.0001321134273369595,0.0003481147335366035,0.6204888371291298
ETH-USD,2026-05-12,FA online,7.59423027539887e-05,0.0003481147335366035,0.7818469158645835
ETH-USD,2026-05-13,F0 raw,0.0003541423939795592,0.0003117279935501259,0.13606221227165177
ETH-USD,2026-05-13,F1 MA,7.329377053695032e-05,0.0003117279935501259,0.764879086724803
ETH-USD,2026-05-13,F2 Kalman,1.9645877079753883e-05,0.0003117279935501259,0.9369775012631492
ETH-USD,2026-05-13,F3 Wavelet,6.073215444035677e-05,0.0003117279935501259,0.8051758080860614
ETH-USD,2026-05-13,F4 Median,0.00013860358042447124,0.0003117279935501259,0.5553701198086858
ETH-USD,2026-05-13,FA online,7.002790338553614e-05,0.0003117279935501259,0.7753557433581092
ETH-USD,2026-05-14,F0 raw,0.00044268181594427314,0.0004968465415394256,0.1090170124306972
ETH-USD,2026-05-14,F1 MA,0.00010262667770498064,0.0004968465415394256,0.7934439125066607
ETH-USD,2026-05-14,F2 Kalman,2.4205202717693888e-05,0.0004968465415394256,0.9512823363071087
ETH-USD,2026-05-14,F3 Wavelet,7.353176164007326e-05,0.0004968465415394256,0.8520030723928499
ETH-USD,2026-05-14,F4 Median,0.00018225055720129315,0.0004968465415394256,0.6331854164937741
ETH-USD,2026-05-14,FA online,0.00011354383978190979,0.0004968465415394256,0.7714710070636571
ETH-USD,2026-05-15,F0 raw,0.0004962146375407429,0.0004423733188377822,0.1217101403050581
ETH-USD,2026-05-15,F1 MA,8.998877681995445e-05,0.0004423733188377822,0.7965772957185213
ETH-USD,2026-05-15,F2 Kalman,2.2545493030021508e-05,0.0004423733188377822,0.9490351427856143
ETH-USD,2026-05-15,F3 Wavelet,8.889145360058517e-05,0.0004423733188377822,0.7990578323436781
ETH-USD,2026-05-15,F4 Median,0.00016201742714433724,0.0004423733188377822,0.6337540709507644
ETH-USD,2026-05-15,FA online,9.63120660725664e-05,0.0004423733188377822,0.7822832843409258
ETH-USD,2026-05-16,F0 raw,0.00025727410673263027,0.0003364194505173873,0.23525793072617404
ETH-USD,2026-05-16,F1 MA,5.442286638725951e-05,0.0003364194505173873,0.838229132401348
ETH-USD,2026-05-16,F2 Kalman,1.3453606976810639e-05,0.0003364194505173873,0.9600094258636949
ETH-USD,2026-05-16,F3 Wavelet,6.481160980793432e-05,0.0003364194505173873,0.8073488030841884
ETH-USD,2026-05-16,F4 Median,0.0001021739575488546,0.0003364194505173873,0.6962899814748555
ETH-USD,2026-05-16,FA online,5.549804459445102e-05,0.0003364194505173873,0.835033186966154
ETH-USD,2026-05-17,F0 raw,0.0001010760289542299,8.448857704115648e-05,0.19632774623477514
ETH-USD,2026-05-17,F1 MA,1.930520343502801e-05,8.448857704115648e-05,0.7715051654187054
ETH-USD,2026-05-17,F2 Kalman,4.086232127285583e-06,8.448857704115648e-05,0.9516356853152458
ETH-USD,2026-05-17,F3 Wavelet,1.1418601756556078e-05,8.448857704115648e-05,0.8648503483376955
ETH-USD,2026-05-17,F4 Median,3.905472852487725e-05,8.448857704115648e-05,0.5377513754805846
ETH-USD,2026-05-17,FA online,1.8656692568505792e-05,8.448857704115648e-05,0.7791808878563826
EURUSD=X,2026-05-06,F0 raw,1.1051610699790813e-07,5.5251003770342935e-08,1.0002551891596552
EURUSD=X,2026-05-06,F1 MA,1.9892572543422303e-08,5.5251003770342935e-08,0.639959979259236
EURUSD=X,2026-05-06,F2 Kalman,5.436223280811035e-09,5.5251003770342935e-08,0.901608606000946
EURUSD=X,2026-05-06,F3 Wavelet,9.107221647912261e-08,5.5251003770342935e-08,0.6483359625044028
EURUSD=X,2026-05-06,F4 Median,5.5251003770342935e-08,5.5251003770342935e-08,0.0
EURUSD=X,2026-05-06,FA online,1.7026789778666618e-08,5.5251003770342935e-08,0.6918284082323573
EURUSD=X,2026-05-07,F0 raw,1.6377924269802383e-05,1.3603519702810663e-05,0.20394755383920912
EURUSD=X,2026-05-07,F1 MA,2.4822463107603537e-06,1.3603519702810663e-05,0.8175291126863667
EURUSD=X,2026-05-07,F2 Kalman,5.285164395067547e-07,1.3603519702810663e-05,0.9611485519150197
EURUSD=X,2026-05-07,F3 Wavelet,1.5811993213707982e-06,1.3603519702810663e-05,0.8837654257196318
EURUSD=X,2026-05-07,F4 Median,6.531246003819692e-06,1.3603519702810663e-05,0.5198855776663261
EURUSD=X,2026-05-07,FA online,2.898484292830092e-06,1.3603519702810663e-05,0.7869312974765473
EURUSD=X,2026-05-08,F0 raw,1.086555398134146e-05,1.0062213817656966e-05,0.07983731793443008
EURUSD=X,2026-05-08,F1 MA,1.7265661359646106e-06,1.0062213817656966e-05,0.8284109076538537
EURUSD=X,2026-05-08,F2 Kalman,3.884758240677728e-07,1.0062213817656966e-05,0.9613926089121577
EURUSD=X,2026-05-08,F3 Wavelet,9.245867988543245e-07,1.0062213817656966e-05,0.9081129843184331
EURUSD=X,2026-05-08,F4 Median,4.796040590983844e-06,1.0062213817656966e-05,0.5233612922667324
EURUSD=X,2026-05-08,FA online,1.9293310300996666e-06,1.0062213817656966e-05,0.8082597860607855
EURUSD=X,2026-05-10,F0 raw,1.662900603315469e-07,1.1084312851028072e-07,0.500228860069783
EURUSD=X,2026-05-10,F1 MA,2.161687585044589e-08,1.1084312851028072e-07,0.8049777542282116
