ticker,filter,optimizer,seed,holdout_mse,train_loss
AAPL,F0,sgd,0,0.00029414239372835065,0.00033910172557021276
AAPL,F0,sgd,1,0.0002950645504289031,0.0003394767464400931
AAPL,F0,clipped_sgd,0,0.00029414239372835065,0.00033910172557021276
AAPL,F0,clipped_sgd,1,0.0002950645504289031,0.0003394767464400931
AAPL,F0,normalized_sgd,0,0.00029507307013804747,0.00033702211849613107
AAPL,F0,normalized_sgd,1,0.0002950787629924423,0.00033702224952775634
AAPL,F0,adam,0,0.000295074259889594,0.0003370221078198791
AAPL,F0,adam,1,0.0002950732032039567,0.0003370221080174692
AAPL,F0,adamw,0,0.00029507425501538017,0.0003370221078198818
AAPL,F0,adamw,1,0.000295074168085523,0.00033702210782234705
AAPL,F1,sgd,0,0.00030178068282970893,4.798389176444035e-05
AAPL,F1,sgd,1,0.000303995521923867,4.769091583840806e-05
AAPL,F1,clipped_sgd,0,0.00030178068282970893,4.798389176444035e-05
AAPL,F1,clipped_sgd,1,0.000303995521923867,4.769091583840806e-05
AAPL,F1,normalized_sgd,0,0.00052648835450255,2.2348846272565683e-05
AAPL,F1,normalized_sgd,1,0.0005264418598154213,2.2348896973499135e-05
AAPL,F1,adam,0,0.0005265440010077289,2.234882489843041e-05
AAPL,F1,adam,1,0.0005265440010077288,2.2348824898430406e-05
AAPL,F1,adamw,0,0.0005265401038057594,2.234882489977436e-05
AAPL,F1,adamw,1,0.0005265401617823308,2.23488248997353e-05
AAPL,F2,sgd,0,0.00029619807130139324,2.1462342413945364e-06
AAPL,F2,sgd,1,0.0002983076268072903,2.108904804278437e-06
AAPL,F2,clipped_sgd,0,0.00029619807130139324,2.1462342413945364e-06
AAPL,F2,clipped_sgd,1,0.0002983076268072903,2.108904804278437e-06
AAPL,F2,normalized_sgd,0,0.0005857590592299969,4.766360989343136e-08
AAPL,F2,normalized_sgd,1,0.0005872312151116656,4.765671211873804e-08
AAPL,F2,adam,0,0.0005733137290164537,4.774028671885981e-08
AAPL,F2,adam,1,0.0005752543527229055,4.772442269570978e-08
AAPL,F2,adamw,0,0.0005732271880760128,4.774079003479744e-08
AAPL,F2,adamw,1,0.0005751658378427312,4.7724907288167126e-08
AAPL,F3,sgd,0,0.0002955786540849467,3.5632557208867446e-05
AAPL,F3,sgd,1,0.0002974051849668542,3.5851225703287094e-05
AAPL,F3,clipped_sgd,0,0.0002955786540849467,3.5632557208867446e-05
AAPL,F3,clipped_sgd,1,0.0002974051849668542,3.5851225703287094e-05
AAPL,F3,normalized_sgd,0,0.000521092810498715,2.276251781456629e-05
AAPL,F3,normalized_sgd,1,0.0005210884335601864,2.276251328129833e-05
AAPL,F3,adam,0,0.0005210426874180748,2.2762490591611904e-05
AAPL,F3,adam,1,0.0005210426874180748,2.2762490591611904e-05
AAPL,F3,adamw,0,0.00052104075307984,2.276249059184337e-05
AAPL,F3,adamw,1,0.0005210407479505617,2.2762490591844137e-05
AAPL,F4,sgd,0,0.00029806371341689066,2.9523285965636867e-05
AAPL,F4,sgd,1,0.0003002341798109591,2.9297785877879947e-05
AAPL,F4,clipped_sgd,0,0.00029806371341689066,2.9523285965636867e-05
AAPL,F4,clipped_sgd,1,0.0003002341798109591,2.9297785877879947e-05
AAPL,F4,normalized_sgd,0,0.0005007915002864752,1.928850444118201e-05
AAPL,F4,normalized_sgd,1,0.0005006361366318907,1.9288539638494425e-05
AAPL,F4,adam,0,0.0005007432330791625,1.9288495510696364e-05
AAPL,F4,adam,1,0.0005007432330791625,1.9288495510696364e-05
AAPL,F4,adamw,0,0.0005007405822537205,1.9288495511018643e-05
