block,model,noise,optimizer,filter,seed,steps,conv100,t_drop100,t_eps,eps_hit,slope,floor_p10,floor_p50,floor_p90,auc,holdout,elapsed_s
A,quadratic,N1,sgd,F0,0,4000,1,318,206,1,1.2613618730927827,0.0012296810101724827,0.0020475763518300076,0.003216783700586515,-2.6507895802298376,0.020028073530143103,0.07805204199394211
A,quadratic,N1,sgd,F0,1,4000,1,330,224,1,-0.15226024037547733,0.001024671499794334,0.001622503486463811,0.0023220989123277124,-2.666542060529854,0.01951997512637925,0.035257208975963295
A,quadratic,N1,sgd,F0,2,4000,1,285,214,1,-1.0662528129894513,0.0010563433632608825,0.0017349591254827625,0.0023790076013279235,-2.6586057588017984,0.018120053561097856,0.04415062500629574
A,quadratic,N1,sgd,F0,3,4000,1,370,249,1,-0.5856273377453409,0.0010418722024523582,0.001636920649212756,0.002570326438413115,-2.6540743010341212,0.016919909391071603,0.05037829099455848
A,quadratic,N1,sgd,F0,4,4000,1,359,258,1,-0.023632801895453272,0.0008705735487185819,0.0015989402036428895,0.0025708560963695975,-2.6385195357073097,0.019927148995479572,0.031278375012334436
A,quadratic,N1,sgd,F0,5,4000,1,284,282,1,-0.7982621925734771,0.00100558207619089,0.0015436081572238847,0.0023900782906658927,-2.669610041470558,0.021936982883037217,0.03387633303645998
A,quadratic,N1,sgd,F0,6,4000,1,259,245,1,0.5622160188154115,0.001238472927348633,0.001811951317318835,0.002624304366381139,-2.6432211296766353,0.024956043366045434,0.03339724999386817
A,quadratic,N1,sgd,F0,7,4000,1,435,291,1,-0.2088062268139625,0.0011218735980488919,0.0016353734803665827,0.0031585800959243304,-2.6230040596497592,0.01829517137147502,0.02770154201425612
A,quadratic,N1,sgd,F0,8,4000,1,269,240,1,-0.06202786950693641,0.0010768109930772325,0.001664109798190423,0.0024665623430032446,-2.6094067766889664,0.019808404819681154,0.049300833023153245
A,quadratic,N1,sgd,F0,9,4000,1,287,224,1,0.9953782396446172,0.001096649746807116,0.0016747324514576106,0.002496019604918686,-2.685938413955286,0.017190188377678932,0.03700000001117587
A,quadratic,N1,sgd,F0,10,4000,1,295,184,1,-0.5559686161708468,0.0008502943923105256,0.001338549126541382,0.002052819128898439,-2.699309591834066,0.020269162750089803,0.04131795803550631
A,quadratic,N1,sgd,F0,11,4000,1,296,252,1,-0.46597380815705725,0.0013060691174456801,0.0018546119421285734,0.0025321828816167423,-2.6368878678725003,0.01755124194725819,0.04149500001221895
A,quadratic,N1,sgd,F0,12,4000,1,315,269,1,0.17893096878235226,0.001175177183178756,0.0018994054017968062,0.0028654054312030274,-2.6048435584415737,0.015600895249521353,0.030025375017430633
A,quadratic,N1,sgd,F0,13,4000,1,252,241,1,0.5186012816102927,0.001048934414834445,0.0017817645702630116,0.002552587718132571,-2.658055566272811,0.013759332549476599,0.03274566697655246
A,quadratic,N1,sgd,F0,14,4000,1,262,217,1,-0.11114007465644417,0.0012442998993762396,0.0017327173422803572,0.002408225844224145,-2.6429196030017303,0.024994398747759158,0.05403766699600965
A,quadratic,N1,sgd,F0,15,4000,1,243,233,1,-0.20308000458975056,0.0009124025635760302,0.0016083282139218013,0.002525457972407402,-2.6608817509990534,0.01640705969329287,0.03510766598628834
A,quadratic,N1,sgd,F0,16,4000,1,282,229,1,0.23001407795439327,0.000986736828191617,0.0017070415925082762,0.002892380509021469,-2.6359988615213807,0.016393741573554416,0.029891707992646843
A,quadratic,N1,sgd,F0,17,4000,1,229,174,1,-1.1200475697644177,0.0010386751037164419,0.001618148214602703,0.002413607624944605,-2.652570278350865,0.016799493892679193,0.03015412500826642
A,quadratic,N1,sgd,F0,18,4000,1,356,252,1,0.4430997291865707,0.0011326708323960123,0.0018585214818494936,0.002902922077698586,-2.631764371656589,0.023089814775212388,0.028592040995135903
A,quadratic,N1,sgd,F0,19,4000,1,270,252,1,-1.3418638343322444,0.000991551555726573,0.0016167086279394842,0.0023389110747153454,-2.652372344286735,0.020645000146201926,0.03364416700787842
A,quadratic,N1,sgd,F0,20,4000,1,355,300,1,0.2064372147040024,0.0011430197236615132,0.0017648656687170431,0.0027863148024264827,-2.6191125061489493,0.01679600647788324,0.03410175000317395
A,quadratic,N1,sgd,F0,21,4000,1,294,248,1,-0.5911935804395744,0.0009782970319214988,0.001701574795023537,0.002515327003950145,-2.605709162510152,0.020107138468328126,0.029307624965440482
A,quadratic,N1,sgd,F0,22,4000,1,360,251,1,-1.0442304890781502,0.0009574259152498468,0.0015114945457725929,0.002265846256028138,-2.6537717887123033,0.019328005662009536,0.038223750016186386
A,quadratic,N1,sgd,F0,23,4000,1,287,242,1,0.4532676781951564,0.0012107848170382614,0.0018054570877998294,0.0028139959594958666,-2.6413552673095873,0.01834253498073272,0.05781545798527077
A,quadratic,N1,sgd,F0,24,4000,1,249,188,1,-0.7153054312503632,0.0010287543327006465,0.0017466775230043211,0.0029797283574842,-2.6727186416640545,0.012760070910150707,0.03337541699875146
A,quadratic,N1,sgd,F0,25,4000,1,348,314,1,-0.5996645185317371,0.0009422781057032275,0.001564390336614519,0.002310030929565228,-2.603997562822594,0.01891196631405285,0.023504165990743786
A,quadratic,N1,sgd,F0,26,4000,1,243,146,1,0.3809853327617572,0.0010884417483639406,0.0017091845775804148,0.002303521663890756,-2.694119321985788,0.018874494973583532,0.0384618749958463
A,quadratic,N1,sgd,F0,27,4000,1,303,184,1,1.7134097352994617,0.0010315487121449669,0.0015835824562134091,0.002381611472893148,-2.6894127657744966,0.01996116630388794,0.03440775000490248
