data,ticker,filter,optimizer,t_conv,final_grad,steps
daily,GBPUSD=X,F3,adam,61,2.3742186124999456e-45,4000
daily,GBPUSD=X,F3,adamw,61,3.0994117155444766e-25,4000
daily,GBPUSD=X,F4,sgd,4000,2.5878390683985483e-11,4000
daily,GBPUSD=X,F4,adam,133,8.731998096875402e-45,4000
daily,GBPUSD=X,F4,adamw,133,2.5686723870446757e-23,4000
daily,GBPUSD=X,FA,sgd,4000,1.1233742783179877e-11,4000
daily,GBPUSD=X,FA,adam,108,4.0216358194330416e-44,4000
daily,GBPUSD=X,FA,adamw,108,8.054998170206295e-24,4000
daily,JPM,F0,sgd,4000,2.044501805931036e-09,4000
daily,JPM,F0,adam,63,1.7342839123409715e-13,4000
daily,JPM,F0,adamw,63,1.5163524938743326e-13,4000
daily,JPM,F1,sgd,4000,8.608766888784506e-09,4000
daily,JPM,F1,adam,166,1.9027815468814673e-41,4000
daily,JPM,F1,adamw,166,7.928468361388076e-21,4000
daily,JPM,F2,sgd,4000,1.6300822960508383e-10,4000
daily,JPM,F2,adam,134,2.161605884495585e-43,4000
daily,JPM,F2,adamw,134,6.366680886004862e-23,4000
daily,JPM,F3,sgd,4000,3.96935856872353e-10,4000
daily,JPM,F3,adam,45,4.3888142814494196e-41,4000
daily,JPM,F3,adamw,45,9.647456568200633e-23,4000
daily,JPM,F4,sgd,4000,2.1876164202581433e-09,4000
daily,JPM,F4,adam,132,1.3261829411382566e-42,4000
daily,JPM,F4,adamw,132,2.093642589218848e-21,4000
daily,JPM,FA,sgd,4000,1.2952437474417704e-09,4000
daily,JPM,FA,adam,103,1.7910048108691052e-42,4000
daily,JPM,FA,adamw,103,5.792801607032218e-22,4000
daily,JPY=X,F0,sgd,4000,2.208593676338461e-12,4000
daily,JPY=X,F0,adam,68,3.3074100017839987e-41,4000
daily,JPY=X,F0,adamw,68,2.48329871732836e-27,4000
daily,JPY=X,F1,sgd,4000,8.459374444004695e-11,4000
daily,JPY=X,F1,adam,179,1.1181510533847087e-43,4000
daily,JPY=X,F1,adamw,179,1.0588373425909647e-22,4000
daily,JPY=X,F2,sgd,4000,2.2694597621286458e-12,4000
daily,JPY=X,F2,adam,129,7.605247224273151e-32,4000
daily,JPY=X,F2,adamw,129,3.4952934281928044e-24,4000
daily,JPY=X,F3,sgd,4000,1.8941482613395605e-13,4000
daily,JPY=X,F3,adam,54,9.611269893839326e-46,4000
daily,JPY=X,F3,adamw,54,2.8398002146732164e-25,4000
