model,optimizer,filter,seed,steps,conv,t_drop100,floor_p50,floor_p10,floor_p90,auc,final_grad
quadratic,sgd,F0,0,4000,0,4000,212.90404344784534,132.80934436102527,353.1289242677198,2.3487596030877764,253.8139402338319
quadratic,sgd,F0,1,4000,0,4000,93.603899570658,31.721478662237473,430.59103831939166,2.1707136406206353,88.18214849051664
quadratic,sgd,F0,2,4000,0,4000,367.7839793497677,28.915980090057214,555.1350841605764,1.8020808173636647,337.48816212332366
quadratic,sgd,F0,3,4000,0,4000,424.051442381087,331.1013279286534,1031.5489661931222,2.138055553407561,336.45222819576776
quadratic,sgd,F0,4,4000,0,4000,1745.6319350595274,1080.9740477924886,5226.975848820993,2.5894899056934917,1015.0934295412192
quadratic,sgd,F0,5,4000,0,4000,304.92039528218794,60.328439150550416,1175.0759461001826,2.018336557125453,292.81057295916156
quadratic,sgd,F0,6,4000,0,4000,159.9049973091349,92.86154280016211,305.9518296419807,1.7994387153536646,70.64472147029352
quadratic,sgd,F0,7,4000,0,4000,146.17807953001434,62.49560784459752,458.0920669380742,2.0355778364025245,226.10233196975565
quadratic,sgd,F1,0,4000,0,4000,212.1480521447198,132.37946359987149,365.9510927672407,2.348157564550553,260.23422022001546
quadratic,sgd,F1,1,4000,0,4000,93.48033118834094,31.508594930980262,427.45041815700836,2.1704901089753994,89.47184875064112
quadratic,sgd,F1,2,4000,0,4000,366.90297010349775,28.761589338015646,552.003018506741,1.799754005686611,357.25511010871105
quadratic,sgd,F1,3,4000,0,4000,425.3542542591543,331.4220595992862,1049.799355706227,2.1346692816976955,331.61417611550365
quadratic,sgd,F1,4,4000,0,4000,1767.3693814740773,1085.812463187137,5188.652078528901,2.588143628501033,990.8338016309546
quadratic,sgd,F1,5,4000,0,4000,303.6796202518868,62.99299340134769,1165.550879795732,2.014087248148775,296.0597728519364
quadratic,sgd,F1,6,4000,0,4000,161.55546040304841,94.8895349704314,319.2301435261613,1.7980530499352763,73.16096341280517
quadratic,sgd,F1,7,4000,0,4000,144.77440799610054,63.16531323905507,456.2231037396721,2.034613064270583,51.134421472846114
quadratic,sgd,F2,0,4000,0,4000,205.4190876903616,135.10944407858813,413.601573414483,2.3460992323991228,270.81197971193353
quadratic,sgd,F2,1,4000,0,4000,99.03049131469814,31.016971771146252,381.65539762584785,2.167554370362726,92.41608525070555
quadratic,sgd,F2,2,4000,0,4000,317.50671392141646,29.09954208620631,479.0623383569941,1.780947284707425,394.145517665812
quadratic,sgd,F2,3,4000,0,4000,442.3174813382576,325.47571489512046,1111.7880751907358,2.11618689102017,326.1812317965341
quadratic,sgd,F2,4,4000,0,4000,1869.7294356751745,1156.8853114678047,4596.636426459096,2.585302321603971,1026.636705400105
quadratic,sgd,F2,5,4000,0,4000,321.1105586657508,67.73017061372818,1015.4211690500961,1.9949957933387334,318.5443124140519
quadratic,sgd,F2,6,4000,0,4000,158.696567336131,99.94833674299875,381.14773725240514,1.7856662060327513,89.12226673643877
quadratic,sgd,F2,7,4000,0,4000,129.66655022705385,65.33877098501118,418.62815746510665,2.023802816211711,53.2824906589834
quadratic,sgd,F3,0,4000,0,4000,211.08476468745278,133.10157963130968,351.8471821636017,2.345998857075324,250.3112282200068
quadratic,sgd,F3,1,4000,0,4000,95.12094322470554,31.051319128726917,427.1650122352161,2.1661844393769236,88.56752472197111
quadratic,sgd,F3,2,4000,0,4000,365.76597473040863,28.30056006227831,548.6298474186781,1.795443807572589,336.1371550903429
quadratic,sgd,F3,3,4000,0,4000,423.6067164739842,328.36329341900506,1026.092953937459,2.1308261494706913,334.56990898794567
quadratic,sgd,F3,4,4000,0,4000,1743.6805115161694,1082.3338172722322,5217.526961085295,2.586803748588112,1010.3093758434546
quadratic,sgd,F3,5,4000,0,4000,304.82694965413475,61.291690788978244,1170.7229039112456,2.013105485310881,293.9420408506553
quadratic,sgd,F3,6,4000,0,4000,157.86778996486555,92.65688649685404,305.6002760205283,1.7920447339543253,71.01865063157136
quadratic,sgd,F3,7,4000,0,4000,144.4267291178521,61.916698091398985,455.17953900641027,2.0309069684254277,232.13515847131683
quadratic,sgd,F4,0,4000,0,4000,199.26259248447627,127.99909791747834,350.40754298799436,2.3052042188986843,230.53297030104162
quadratic,sgd,F4,1,4000,0,4000,88.11510114090339,27.98732031785338,323.85823556789217,2.1288084735401034,83.49344118296375
quadratic,sgd,F4,2,4000,0,4000,296.04455642138487,26.647796975286308,412.7665739161644,1.7372614755554827,302.1690030521395
quadratic,sgd,F4,3,4000,0,4000,424.9308165832375,317.89196625541865,1017.4013283578862,2.0762535485845564,315.9789051093654
quadratic,sgd,F4,4,4000,0,4000,1688.4501374091133,1064.590876119546,4117.533452585238,2.542651145241841,963.4611921192975
quadratic,sgd,F4,5,4000,0,4000,284.3033783801315,56.698471269316634,884.2431591855567,1.94550015521985,277.2198656467723
quadratic,sgd,F4,6,4000,0,4000,143.86729537928156,91.26410208752064,299.13586895005227,1.7445419491656569,73.21986763745535
quadratic,sgd,F4,7,4000,0,4000,121.5878031432421,60.78149940711817,353.95862883980374,1.9788084179777687,50.78550354279661
quadratic,sgd,F5,0,4000,0,4000,198.3397034654175,132.44880753707668,406.6503797596348,2.3234189434435777,251.599293077488
quadratic,sgd,F5,1,4000,0,4000,95.30507263414978,29.117705973875882,335.3112350926013,2.1456919087051847,89.71720884594535
quadratic,sgd,F5,2,4000,0,4000,284.55257363581677,27.89465367311456,416.2866983121527,1.7484720461501222,355.1122795326266
quadratic,sgd,F5,3,4000,0,4000,444.9553896350058,323.2555337478698,1100.3212732376053,2.085420186167025,319.5379515478074
quadratic,sgd,F5,4,4000,0,4000,1827.417104811455,1149.506394649634,4086.6224326377837,2.5606100317988822,1017.6907620126226
quadratic,sgd,F5,5,4000,0,4000,251.3398745285076,64.23316108044618,876.8450358497558,1.9584115069227457,309.388477349672
quadratic,sgd,F5,6,4000,0,4000,149.13631838092817,97.94192374721662,370.3984675368539,1.7577101937406947,89.73753573164974
quadratic,sgd,F5,7,4000,0,4000,123.58769959649408,63.527905838913284,365.4664038276708,1.995467405867779,53.205706925394615
