domain,model,optimizer,filter,n_cells,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0
financial_15m,regression,adam,F2,16,53.0,1.0,1.833072411108634e-05,-0.3082770611204342,-4.618721092864349,0.695606930160316,1.5096984423430928,0.06674532785573914,72.77358490566037,129.303578464883
financial_15m,regression,adam,F4,16,87.0,1.0,0.00015507719850757794,0.010541468285148903,-3.7398405124766443,0.7255864215812899,1.5096984423430928,0.06674532785573914,44.333333333333336,15.284182627919686
financial_15m,regression,adam,F7,16,183.0,1.0,7.63587094426944e-05,0.3006660615072767,-3.966657682225575,0.6909236231800385,1.5096984423430928,0.06674532785573914,21.07650273224044,31.040705647268457
financial_15m,regression,adam,FA,16,87.0,1.0,0.00023300119560219122,0.06300532582357235,-3.5442185282658283,0.7434129794349092,1.5096984423430928,0.06674532785573914,44.333333333333336,10.17260112030809
financial_15m,regression,sgd,F0,16,110.5,1.0,0.00011936537599014616,0.11952212825504267,-3.8877956567193825,0.6908965521657988,1.5096984423430928,0.06674532785573914,1.0,1.0
financial_15m,regression,sgd,F1,16,582.0,1.0,5.258282984795749e-05,-2.3292817614115684,-3.6528912853486464,0.7288870463822046,1.5096984423430928,0.06674532785573914,0.18986254295532645,2.270044733904384
financial_15m,regression,sgd,F10,16,1711.0,1.0,9.288486312454712e-06,-0.6744763161089445,-4.276773064708605,0.6941598597662673,1.5096984423430928,0.06674532785573914,0.06458211572180012,12.850896472775325
financial_15m,regression,sgd,F11,16,376.0,1.0,4.186531836165032e-05,0.48516660861842215,-3.936644841068033,0.7556217866706846,1.5096984423430928,0.06674532785573914,0.29388297872340424,2.8511756427842627
financial_15m,regression,sgd,F2,16,1457.0,1.0,1.2373522829090685e-05,-0.305080776113157,-4.268578524733962,0.6949739104279358,1.5096984423430928,0.06674532785573914,0.075840768702814,9.646838466205681
financial_15m,regression,sgd,F4,16,721.5,1.0,2.205018066385437e-05,-2.120228343418346,-3.8052102016899823,0.7268466265789983,1.5096984423430928,0.06674532785573914,0.15315315315315314,5.4133513829124835
financial_15m,regression,sgd,F7,16,2493.5,1.0,6.323147942587787e-05,-1.5202466258146787,-3.672759318868963,0.6914349063357319,1.5096984423430928,0.06674532785573914,0.0443152195708843,1.8877523833689576
financial_15m,regression,sgd,FA,16,638.5,1.0,1.4807856765794265e-05,-0.4963259096987924,-4.023356208663514,0.7432912068469038,1.5096984423430928,0.06674532785573914,0.173061863743148,8.060948851549998
financial_5m,classification,adam,F0,16,4000.0,0.0625,0.00026549488270553276,0.08890585814946371,-3.559496266361277,0.5024257713953038,1.5426814014825174,0.05604978899490204,1.0,1.0
financial_5m,classification,adam,F1,16,1054.0,1.0,4.101200797432118e-05,-1.6199848078329637,-3.9247184028430953,0.5737523621632574,1.5426814014825174,0.05604978899490204,3.795066413662239,6.473588975983982
financial_5m,classification,adam,F10,16,3465.0,0.75,7.146413261113748e-05,-1.487688354158471,-3.671374816694149,0.5547683170662403,1.5426814014825174,0.05604978899490204,1.1544011544011543,3.7150787815502873
