n,mean_log_diff,floor_ratio,t_stat,p_one_sided,cohen_d,ci_lo,ci_hi,wilcoxon_p,perm_p,power,boot_ratio,boot_ratio_lo,boot_ratio_hi,model,noise,filter,metric,conv_F0,conv_Fk,p_holm
100,1.3184609781264058,20.819053351557557,60.673918208881496,2.0132429550012007e-80,6.067391820888149,1.2753433964713912,1.3615785597814205,1.948279922547955e-18,0.0,1.0,19.843981396510923,17.73555520276514,21.95867555942572,ar,N3cal,F4,floor,1.0,1.0,4.026485910002401e-80
100,0.12015345213066858,1.3187226091949864,17.733866593086002,8.491887733299078e-33,1.7733866593086003,0.10670965434136356,0.1335972499199736,2.1985567770909475e-18,0.0,1.0,1.2914187012903204,1.1505657210056934,1.4737305876444273,ar,N4cal,F4,floor,0.16,0.1,2.547566319989723e-32
100,2.110182066727683,128.8789730214675,44.90728226995699,6.1167704526707934e-68,4.4907282269956985,2.016944203826061,2.203419929629305,1.948279922547955e-18,0.0,1.0,145.67532281291807,104.61423615528756,170.69263831107116,logistic,N3cal,F4,floor,0.0,1.0,6.1167704526707934e-68
100,0.011364440994244043,1.0265129698547297,12.19812035934126,9.690989156798416e-22,1.2198120359341262,0.009515835159827029,0.013213046828661057,1.6870240604134979e-16,0.0,1.0,1.0304159144334073,0.9996525138490838,1.0388759417753424,logistic,N4cal,F4,floor,0.0,0.0,9.690989156798416e-22
100,1.95819881363429,90.82362122208697,76.49879344690382,3.52427017088811e-90,7.6498793446903814,1.9074072768614365,2.0089903504071436,1.948279922547955e-18,0.0,1.0,80.78276070658362,72.58559049417221,98.13968093609475,quadratic,N3cal,F4,floor,0.02,1.0,1.057281051266433e-89
100,0.11459443521671688,1.3019503875630458,16.302008276574078,4.3054651311566706e-30,1.630200827657408,0.10064644690460703,0.12854242352882672,3.3512045343089987e-18,0.0,1.0,1.3828426893891894,1.2568894203005032,1.530742230383867,quadratic,N4cal,F4,floor,0.0,0.0,8.610930262313341e-30
