task,filter,noise,optimizer,clip,seed,t_eps,final_grad_norm_sq,final_loss,final_alpha_hat,elapsed_s
quadratic,F0,N3,adam,True,3,-1,0.8426031271139631,0.05107502080454002,1.1487429596907326,0.8672363409932586
quadratic,F0,N3,adam,True,4,-1,0.8682130065964613,0.04391425849595346,1.05,0.8875605380017078
quadratic,F0,N3,adam,True,5,-1,0.9824805903621753,0.022003524916291428,1.405377116988601,1.3653253720040084
quadratic,F0,N4,sgd,False,0,-1,2.8755343860019105,0.18106098990822866,,5.012751481997839
quadratic,F0,N4,sgd,False,1,-1,2.512804487501555,0.2194121343236461,,5.00889477799501
quadratic,F0,N4,sgd,False,2,-1,2.9276156371490076,0.48697273000600166,,5.154020009002124
quadratic,F0,N4,sgd,False,3,-1,1.1396995713279499,0.13614994220218338,,5.019728646999283
quadratic,F0,N4,sgd,False,4,-1,1.7416222998338389,0.1674564985231286,,3.130333626999345
quadratic,F0,N4,sgd,False,5,-1,3.443130065681903,0.26366917170926507,,3.0533262719982304
quadratic,F0,N4,sgd,True,0,-1,2.8755271979551904,0.1810578155173279,1.234719319833696,3.1589160160001484
quadratic,F0,N4,sgd,True,1,-1,2.5128105675734607,0.21941493961056902,1.6343356266067017,5.122503759004758
quadratic,F0,N4,sgd,True,2,-1,1.9607607273056924,0.13405320866722623,1.1612725394943664,3.170574376999866
quadratic,F0,N4,sgd,True,3,-1,0.9864640237352112,0.09213819513371851,1.2320148987619222,5.08715617100097
quadratic,F0,N4,sgd,True,4,-1,1.740736427607588,0.16705567443553399,1.1198763404512253,5.087180119997356
quadratic,F0,N4,sgd,True,5,-1,3.4431299259328134,0.2636691051579113,1.4655142742855949,5.132065860001603
quadratic,F0,N4,adam,False,0,-1,2.2113894608973514,0.04125217508120649,,3.246453499996278
quadratic,F0,N4,adam,False,1,-1,1.3161996209629316,0.06619081453650358,,3.12625677199685
quadratic,F0,N4,adam,False,2,-1,1.7733874122076063,0.14561954991475312,,3.1820038279984146
quadratic,F0,N4,adam,False,3,-1,1.4606192999902126,0.1327017890348045,,3.21105958300177
quadratic,F0,N4,adam,False,4,-1,0.8994241096769241,0.0955854592361042,,5.101855715998681
quadratic,F0,N4,adam,False,5,-1,1.5174628498800353,0.07425364179411675,,5.1430528450000565
quadratic,F0,N4,adam,True,0,-1,2.2107186722578454,0.039911570043511924,1.2693912330692123,5.1042284140057745
quadratic,F0,N4,adam,True,1,-1,1.3300371595161824,0.06793432944955116,1.6056688295017865,5.660134098005074
quadratic,F0,N4,adam,True,2,-1,1.5446339098956825,0.08009326129338135,1.167662022031097,5.059620123000059
quadratic,F0,N4,adam,True,3,-1,1.2792104396204198,0.09422881391448351,1.2973169926560053,5.1269728140032385
quadratic,F0,N4,adam,True,4,-1,0.9477972022784544,0.0831333250296806,1.1723229106773239,5.1264360190034495
quadratic,F0,N4,adam,True,5,-1,1.5712764367032124,0.07974491392499289,1.4797302273404433,5.690690848001395
quadratic,F2,N3,sgd,False,0,-1,3.838057455322363,0.25269446608125407,,1.6574281989960582
quadratic,F2,N3,sgd,False,1,-1,2.1363046698212607,0.23906746631158488,,1.6428982580036973
quadratic,F2,N3,sgd,False,2,-1,1.7443478979768785,0.13692147594499,,1.6722762869976577
quadratic,F2,N3,sgd,False,3,-1,1.9882365821864747,0.1555614426653718,,1.709708791000594
quadratic,F2,N3,sgd,False,4,-1,2.382649713378633,0.17945442497544103,,1.6566147539997473
quadratic,F2,N3,sgd,False,5,-1,2.7375336020782024,0.14771126615566982,,1.6484509270012495
quadratic,F2,N3,sgd,True,0,-1,3.8376770532389015,0.2526582099435517,1.2874745924782536,1.713912512997922
quadratic,F2,N3,sgd,True,1,-1,2.13630467175463,0.2390674665118913,2.0,1.7043425399970147
quadratic,F2,N3,sgd,True,2,-1,1.7443478979768785,0.13692147594499,1.1951327483913157,1.6734296959984931
quadratic,F2,N3,sgd,True,3,-1,1.9882365821864747,0.1555614426653718,2.0,2.908677642000839
quadratic,F2,N3,sgd,True,4,-1,2.382649713378633,0.17945442497544103,1.7508118101014747,1.6847239269991405
quadratic,F2,N3,sgd,True,5,-1,2.7375336020782024,0.14771126615566982,2.0,2.9082539869996253
quadratic,F2,N3,adam,False,0,-1,49.5496311827006,2.8965812373394915,,2.9560196489983355
quadratic,F2,N3,adam,False,1,-1,74.66321628523043,4.373034920487376,,1.7462318680045428
quadratic,F2,N3,adam,False,2,-1,104.83803774273892,5.747918585850718,,1.6940548760030651
