block,model,noise,optimizer,filter,n_seeds,conv100_frac,t_drop100_med,t_eps_med,eps_hit_frac,slope_mean,slope_lo,slope_hi,floor_p50_med,floor_p10_med,floor_p90_med,auc_mean,auc_lo,auc_hi,holdout_mean,holdout_lo,holdout_hi,wall_med,floor_ratio_vs_F0,speedup_vs_F0
A,ar,N1,clipped_sgd,F0,8,1.0,76.0,395.0,1.0,0.3078270518015076,-0.3295008805551584,1.0088205359835154,0.000991904082034577,0.0003395537880059651,0.0023639591030241037,-2.9602016142510905,-2.9734229480555374,-2.9477543272709026,0.9998105920852098,0.9790218281909883,1.0223089367670375,0.11970399999700021,1.0,1.0
A,ar,N1,clipped_sgd,F1,8,1.0,76.5,416.0,1.0,0.39473298536616,-0.5001969248886438,1.2615172217072128,0.000768869288549433,0.00025075828293934254,0.001575489239177388,-3.0952966290040664,-3.1116669654114686,-3.080180937428594,0.9996157343300296,0.9788467287690747,1.0223571744514217,0.11202339599913103,1.2900815480690182,0.9495192307692307
A,ar,N1,clipped_sgd,F2,8,1.0,73.0,394.5,1.0,0.7270034503911911,-0.3357482570529161,1.7114261759931182,0.0003397671465911391,0.00012122704981830474,0.0006933978239033438,-3.414781712498167,-3.4367990467009886,-3.3939094594122596,0.9994978528672425,0.978718271512651,1.0221028396957825,0.12570689549829694,2.9193643116654564,1.0012674271229405
A,ar,N1,clipped_sgd,F3,8,1.0,73.0,338.0,1.0,3.5190865390012678,1.8259963590223822,5.495483375314104,0.00012927841412465103,5.517605783834369e-05,0.00041364060693339417,-3.7618176254760645,-3.793558594731436,-3.72918875019495,1.000053464014382,0.9796195640694556,1.022060640848545,0.11738831249749637,7.672619506905284,1.168639053254438
A,ar,N1,clipped_sgd,F4,8,1.0,76.5,451.5,1.0,0.553516108480891,-0.029573601552803624,1.090720036437534,0.0010468718441187753,0.00036179155791219114,0.002335720501450141,-2.940596872506366,-2.9632414693351636,-2.9231783397597244,0.9994144841477491,0.9785078755085117,1.0222326302318285,0.2424260410007264,0.9474933227089812,0.8748615725359912
A,ar,N1,normalized_sgd,F0,8,1.0,37.0,1463.5,0.625,-0.062248737057932484,-0.23309502003043395,0.1274950713104413,0.005561211277466128,0.001775071732462653,0.01314746673669252,-2.2654907425990336,-2.2745063534981664,-2.256401491774534,1.0007066114549945,0.9799462118212845,1.0231233042773136,0.1228540414958843,1.0,1.0
A,ar,N1,normalized_sgd,F1,8,1.0,30.5,3000.0,0.375,0.05566093572545207,-0.21164948774377107,0.4309762126929943,0.004208891815675799,0.0017262720114329245,0.007826250667537166,-2.399721920925598,-2.4147709408174927,-2.386680815818822,1.0007069304311733,0.9795326394999649,1.0240372872766097,0.11548237500028335,1.321300599068307,0.48783333333333334
A,ar,N1,normalized_sgd,F2,8,1.0,30.5,3000.0,0.0,0.1350095742518925,-0.07834126014740106,0.3686594179103091,0.002919521171326967,0.0017968151953043424,0.0041333943802511165,-2.5402149487929053,-2.561640843610169,-2.5199438293280423,1.0001495135587786,0.9791976885413762,1.0229954787478788,0.12495331250102026,1.9048367698386899,0.48783333333333334
A,ar,N1,normalized_sgd,F3,8,1.0,30.0,3000.0,0.0,0.5088437202159883,0.2980486248714767,0.7346485015916803,0.0029525819215130006,0.0017650421035359163,0.003345489991125325,-2.603679237270276,-2.6422610946150114,-2.5688005481644174,1.000921687987127,0.9808891764395872,1.0223773922670207,0.12120950000098674,1.883507867113262,0.48783333333333334
A,ar,N1,normalized_sgd,F4,8,1.0,31.5,3000.0,0.25,0.16567681363907316,-0.06547501896692122,0.4190526382767326,0.006053577444732439,0.002204374952503075,0.013251812557184075,-2.245473137670828,-2.2539979107997508,-2.2358023170063808,1.0011285092048003,0.9791234228386824,1.0254035352056816,0.23427487499793642,0.9186652567409133,0.48783333333333334
A,ar,N1,sgd,F0,8,1.0,76.0,395.0,1.0,0.307827051801508,-0.32950088055515836,1.0088205359835156,0.000991904082034577,0.0003395537880059651,0.0023639591030241037,-2.960219215402711,-2.973440526497659,-2.9477648398312746,0.9998105920852098,0.9790218281909883,1.0223089367670375,0.09081906250139582,1.0,1.0
A,ar,N1,sgd,F1,8,1.0,76.5,416.0,1.0,0.39473298536616,-0.5001969248886438,1.2615172217072128,0.000768869288549433,0.00025075828293934254,0.001575489239177388,-3.0952966290040664,-3.1116669654114686,-3.080180937428594,0.9996157343300296,0.9788467287690747,1.0223571744514217,0.09257072950276779,1.2900815480690182,0.9495192307692307
A,ar,N1,sgd,F2,8,1.0,73.0,394.5,1.0,0.7270034503911909,-0.33574825705291633,1.7114261759931173,0.0003397671465911391,0.00012122704981830474,0.0006933978239033438,-3.4148026530237603,-3.436810331590176,-3.3939224256811,0.9994978528672425,0.978718271512651,1.0221028396957825,0.11939568700108794,2.9193643116654564,1.0012674271229405
A,ar,N1,sgd,F3,8,1.0,73.0,338.0,1.0,3.5190865390012678,1.8259963590223822,5.495483375314104,0.00012927841412465103,5.517605783834369e-05,0.00041364060693339417,-3.7618176254760645,-3.793558594731436,-3.72918875019495,1.000053464014382,0.9796195640694556,1.022060640848545,0.12039937500230735,7.672619506905284,1.168639053254438
A,ar,N1,sgd,F4,8,1.0,76.5,451.5,1.0,0.5535161084808914,-0.029573601552802767,1.0907200364375345,0.0010468718441187753,0.00036179155791219114,0.002335720501450141,-2.9406142740345755,-2.963256250388645,-2.923181969042876,0.9994144841477491,0.9785078755085117,1.0222326302318285,0.24933279200195102,0.9474933227089812,0.8748615725359912
A,ar,N2,clipped_sgd,F0,8,1.0,87.5,3000.0,0.0,0.8778955545397633,0.14192229977439025,1.737941605084272,0.023039817255312133,0.007989495194058224,0.04500709587077776,-1.6373425932075614,-1.6757475537603836,-1.603176282456078,1.0085498173021656,0.9902500048691231,1.0294392634413518,0.12932425050166785,1.0,1.0
A,ar,N2,clipped_sgd,F1,8,1.0,90.0,3000.0,0.0,0.8783284846085169,0.13947699236721148,1.7257234146594316,0.022605107152856213,0.00811046726291055,0.041971299021360854,-1.6531441689688866,-1.692699056063349,-1.6175142885338052,1.0091631831192729,0.9911362911675397,1.0295679945750467,0.10800541649950901,1.0192306145472525,1.0
A,ar,N2,clipped_sgd,F2,8,1.0,91.5,3000.0,0.0,0.7764408631691673,0.022366624025352957,1.5795686632407389,0.020328354242186566,0.005610746227388086,0.03201452842291888,-1.7285441362053307,-1.7755338620839984,-1.685067039787297,1.0077705493962958,0.9896013842874534,1.0277455239694202,0.1252990624961967,1.1333833020037887,1.0
A,ar,N2,clipped_sgd,F3,8,1.0,101.5,3000.0,0.0,0.9372314073975998,-0.22389011780650092,2.0656489949825065,0.01920584899295144,0.006561250820391605,0.028361210521593502,-1.767368268404367,-1.8196330046441342,-1.71770833160129,1.0070647334592424,0.9888423407035873,1.0274222802554778,0.13287768699592561,1.1996250342157622,1.0
A,ar,N2,clipped_sgd,F4,8,1.0,95.0,3000.0,0.0,0.8549326020350962,0.0448737821063688,1.730767389070849,0.022064867339063814,0.008769120551447478,0.04345273849609964,-1.64236888809489,-1.682188014198407,-1.6062739475363366,1.0092906167498894,0.9913171234199398,1.0295372357647437,0.25098377100221114,1.0441856232927473,1.0
A,ar,N2,normalized_sgd,F0,8,1.0,43.5,3000.0,0.0,0.6658385960467121,0.03969383064942149,1.3865931805751606,0.037031702573686355,0.014425929701431923,0.07230217607677078,-1.4608982257891037,-1.485428073587279,-1.437745892956016,1.0113397324532556,0.9904425165620101,1.0351838732259908,0.12842068750615,1.0,1.0
A,ar,N2,normalized_sgd,F1,8,1.0,35.5,3000.0,0.0,0.6394099008306486,-0.06345969092544657,1.4197254873371765,0.03332783173082477,0.012152556328029317,0.06437204326182568,-1.4971250156673175,-1.5233594493224298,-1.4711275749310917,1.0156173859897981,0.9935001330539496,1.0415088435827207,0.11139135399935185,1.1111344678158552,1.0
A,ar,N2,normalized_sgd,F2,8,1.0,55.0,3000.0,0.0,0.8650116114070113,0.13085380373734606,1.717304080573812,0.02398812288204569,0.009252615917882855,0.04237355843097797,-1.6513887699075658,-1.692607983450689,-1.6128383384857885,1.0097896264641375,0.9905219020236262,1.0324134605653166,0.11372868699982064,1.543751578886706,1.0
A,ar,N2,normalized_sgd,F3,8,1.0,33.5,3000.0,0.0,1.1759411041285082,0.0681241272883382,2.2828160025379236,0.022013054547858953,0.00972898396377441,0.03741865308708393,-1.7005239662559064,-1.7443705823459164,-1.6559428710612936,1.0076094680823764,0.9875987076191967,1.0304855705359812,0.11177897899688105,1.6822609735134715,1.0
A,ar,N2,normalized_sgd,F4,8,1.0,35.0,3000.0,0.0,0.5887510391117794,-0.0946281690965283,1.3364217547378583,0.036381451314657615,0.014687384408189823,0.07209964243289557,-1.4535614543815654,-1.4778741462950156,-1.4283802472426856,1.0151614077824758,0.9930684934925145,1.0425902597782397,0.22459299999900395,1.0178731533661156,1.0
A,ar,N2,sgd,F0,8,1.0,87.5,3000.0,0.0,0.8778955545397631,0.14192229977438978,1.737941605084272,0.023039817255312133,0.007989495194058224,0.04500709587077776,-1.6373455039531541,-1.6757475537603836,-1.6031791932016706,1.0085498173021656,0.9902500048691231,1.0294392634413518,0.12376477100042393,1.0,1.0
