regime,gamma,day,filter,rv_est,iv_true,rel_err
gauss,0.5,12,F2 Kalman,2.1212524459011985e-05,0.00036978786869288564,0.942635964413886
gauss,0.5,12,F3 Wavelet,3.044565334782073e-05,0.00036978786869288564,0.9176672467503084
gauss,0.5,12,F4 Median,0.00013508748527561558,0.00036978786869288564,0.634689245612306
gauss,0.5,12,FA online,7.964816334449194e-05,0.00036978786869288564,0.7846112052674152
gauss,0.5,13,F0 raw,0.0005949630622315851,0.0004269655027826368,0.39346869560671266
gauss,0.5,13,F1 MA,9.638055397023737e-05,0.0004269655027826368,0.7742661799557525
gauss,0.5,13,F2 Kalman,1.9951929956485983e-05,0.0004269655027826368,0.9532703934475866
gauss,0.5,13,F3 Wavelet,3.8775582961273744e-05,0.0004269655027826368,0.9091833351674456
gauss,0.5,13,F4 Median,0.00016185781339346403,0.0004269655027826368,0.6209112625291792
gauss,0.5,13,FA online,9.547170371211741e-05,0.0004269655027826368,0.7763948068640081
gauss,0.5,14,F0 raw,0.0005609899360257754,0.00037917405635381704,0.47950506271531734
gauss,0.5,14,F1 MA,8.521743639791765e-05,0.00037917405635381704,0.7752550973097192
gauss,0.5,14,F2 Kalman,1.86283877182354e-05,0.00037917405635381704,0.9508711437238924
gauss,0.5,14,F3 Wavelet,3.437759465050997e-05,0.00037917405635381704,0.9093355832909851
gauss,0.5,14,F4 Median,0.00013587260095958165,0.00037917405635381704,0.6416616625458271
gauss,0.5,14,FA online,9.063046816854556e-05,0.00037917405635381704,0.7609792477891052
gauss,0.5,15,F0 raw,0.0005810927726897885,0.0003869847995756285,0.5015906912287531
gauss,0.5,15,F1 MA,7.700723908766464e-05,0.0003869847995756285,0.8010070701171944
gauss,0.5,15,F2 Kalman,1.675276235336545e-05,0.0003869847995756285,0.9567095080433735
gauss,0.5,15,F3 Wavelet,2.3810898448008872e-05,0.0003869847995756285,0.9384707139036981
gauss,0.5,15,F4 Median,0.00013214355160338852,0.0003869847995756285,0.6585303822054548
gauss,0.5,15,FA online,8.02594520169768e-05,0.0003869847995756285,0.792603089049001
gauss,0.5,16,F0 raw,0.0005927315229341489,0.00037942296042516076,0.5621920251477827
gauss,0.5,16,F1 MA,9.13053738137652e-05,0.00037942296042516076,0.7593572784539625
gauss,0.5,16,F2 Kalman,2.546960343760114e-05,0.00037942296042516076,0.9328727934412264
gauss,0.5,16,F3 Wavelet,4.422902031946114e-05,0.00037942296042516076,0.8834308280397672
gauss,0.5,16,F4 Median,0.00016465936094141027,0.00037942296042516076,0.5660268931619163
gauss,0.5,16,FA online,9.748640585009443e-05,0.00037942296042516076,0.7430666669701368
gauss,0.5,17,F0 raw,0.0006457147031617072,0.00042110240820076737,0.5333911433103281
gauss,0.5,17,F1 MA,9.470580293941498e-05,0.00042110240820076737,0.7751003055431056
gauss,0.5,17,F2 Kalman,2.6925580504266642e-05,0.00042110240820076737,0.9360593053378373
gauss,0.5,17,F3 Wavelet,3.918837400802376e-05,0.00042110240820076737,0.9069386133993799
gauss,0.5,17,F4 Median,0.00016557956674206512,0.00042110240820076737,0.6067950134753862
gauss,0.5,17,FA online,0.0001077088563170276,0.00042110240820076737,0.7442217042233688
gauss,0.5,18,F0 raw,0.000582520881498605,0.0003638533889198163,0.6009769298231746
gauss,0.5,18,F1 MA,8.078407148574013e-05,0.0003638533889198163,0.7779763114875293
