mode,task,filter,noise,optimizer,seed,steps,lr,t_eps,final_grad_norm_sq,final_loss,holdout_metric,elapsed_s
buffer,quadratic,F0,N1,sgd,0,2000,0.01,-1,0.20774186322691318,-0.14608577347772642,0.15324637726573487,0.1954250039998442
buffer,quadratic,F0,N1,sgd,1,2000,0.01,-1,0.10318619522517647,-0.045241852929296625,0.12860987516770409,0.19481937200180255
buffer,quadratic,F0,N1,sgd,2,2000,0.01,-1,0.3466444536700925,-0.0722540616210414,0.1946335233867934,0.1977184099960141
buffer,quadratic,F0,N1,sgd,3,2000,0.01,-1,0.14634216444255643,-0.03195957389676235,0.12834937132923557,0.19619791500008432
buffer,quadratic,F0,N1,sgd,4,2000,0.01,-1,0.18576027279365526,-0.043570346367613255,0.1287859433200866,0.09930681600235403
buffer,quadratic,F0,N1,adam,0,2000,0.01,-1,0.5854890209238325,-0.10648636076340867,0.22707709025374934,0.11966429400490597
buffer,quadratic,F0,N1,adam,1,2000,0.01,-1,0.3532124649671335,-0.013978251254651505,0.19686390310400234,0.10959084999922197
buffer,quadratic,F0,N1,adam,2,2000,0.01,-1,0.6881390341443072,-0.02620162897366865,0.277171372589354,0.10948407999967458
buffer,quadratic,F0,N1,adam,3,2000,0.01,-1,0.37737026961392467,-0.006302527877142666,0.17818240623088163,0.21377008699346334
buffer,quadratic,F0,N1,adam,4,2000,0.01,-1,0.344986723613555,-0.017286352029237867,0.1977483288823799,0.21180329299386358
buffer,quadratic,F0,N1,adamw,0,2000,0.01,-1,0.5854764671852243,-0.10648842323717206,0.22707301911319094,0.21670530399569543
buffer,quadratic,F0,N1,adamw,1,2000,0.01,-1,0.3532034037517305,-0.01398002196891926,0.19685926349563504,0.21623489299963694
buffer,quadratic,F0,N1,adamw,2,2000,0.01,-1,0.6881248666825599,-0.02620474622986671,0.277164227470737,0.11609595600020839
buffer,quadratic,F0,N1,adamw,3,2000,0.01,-1,0.3773613273678418,-0.006303872604083119,0.17817961143209124,0.11200107500189915
buffer,quadratic,F0,N1,adamw,4,2000,0.01,-1,0.3449752795128042,-0.017288865350128968,0.19773975291623383,0.11266263700235868
buffer,quadratic,F0,N2,sgd,0,2000,0.01,-1,0.4660203054980465,-0.1308298373563844,0.172899221492893,1.9336298660055036
buffer,quadratic,F0,N2,sgd,1,2000,0.01,-1,0.27056103323272335,-0.026382604856844766,0.1759962767547785,1.9054894900036743
buffer,quadratic,F0,N2,sgd,2,2000,0.01,-1,0.2265354324673863,-0.08957685350486419,0.1501182011425972,1.9015929999950458
buffer,quadratic,F0,N2,sgd,3,2000,0.01,-1,0.4159621047769017,0.009992871166457987,0.22152591088127355,1.9142286599962972
buffer,quadratic,F0,N2,sgd,4,2000,0.01,-1,0.24827715890192573,-0.03254858517467435,0.1639549286713097,3.843546755000716
buffer,quadratic,F0,N2,adam,0,2000,0.01,-1,0.5525283838470211,-0.11381212545407471,0.2120421921052754,3.8694134559991653
buffer,quadratic,F0,N2,adam,1,2000,0.01,-1,0.3007063887531525,-0.01018854420356527,0.22886828814184385,3.8396179850024055
buffer,quadratic,F0,N2,adam,2,2000,0.01,-1,0.5786582329943816,-0.0564106480327084,0.20657789980927538,3.3778349499989417
buffer,quadratic,F0,N2,adam,3,2000,0.01,-1,0.8214122780419537,0.05532509466275498,0.2760078420296604,3.8751409000033163
buffer,quadratic,F0,N2,adam,4,2000,0.01,-1,0.49258884827471816,-0.0032721778820046787,0.22699071099381563,3.8421350110002095
buffer,quadratic,F0,N2,adamw,0,2000,0.01,-1,0.5525163978902523,-0.11381393347396096,0.21203835209505237,3.8474335949940723
buffer,quadratic,F0,N2,adamw,1,2000,0.01,-1,0.30069474575863303,-0.010190935948105745,0.22886347546413902,3.3819393399971887
buffer,quadratic,F0,N2,adamw,2,2000,0.01,-1,0.5786467478980983,-0.056412301758777844,0.20657440930014523,1.9285605330005637
buffer,quadratic,F0,N2,adamw,3,2000,0.01,-1,0.8213955330894726,0.05532265145459038,0.2760040289221502,1.9329691940001794
buffer,quadratic,F0,N2,adamw,4,2000,0.01,-1,0.49257466880952006,-0.0032749970824663133,0.22698423338985388,1.933545954998408
buffer,quadratic,F0,N3,sgd,0,2000,0.01,-1,1.5485820054748416,0.09201383207543862,0.5457355031795206,0.8599571390004712
buffer,quadratic,F0,N3,sgd,1,2000,0.01,-1,1.5011572721886781,0.12867843093250214,0.3902019106772926,0.8626332459971309
buffer,quadratic,F0,N3,sgd,2,2000,0.01,-1,1.264435180399559,0.12346244167226525,0.4866174751549068,0.808622797994758
buffer,quadratic,F0,N3,sgd,3,2000,0.01,-1,1.0454258773535874,0.09018093297415213,0.3414068673839481,1.3268994270038093
buffer,quadratic,F0,N3,sgd,4,2000,0.01,-1,1.1440340151293422,0.07619379027548814,0.34064750869273913,1.32854177000263
buffer,quadratic,F0,N3,adam,0,2000,0.01,-1,1.2710014329579722,0.018855534793353113,0.44305073035080283,0.8648224509961437
buffer,quadratic,F0,N3,adam,1,2000,0.01,-1,0.8847397381901992,0.06749825664125053,0.33554438610311615,0.8284466039986
buffer,quadratic,F0,N3,adam,2,2000,0.01,-1,1.0387109119228568,0.06405392779188579,0.4167904213398672,0.8126647869939916
buffer,quadratic,F0,N3,adam,3,2000,0.01,-1,0.8568832047177808,0.052257613802025926,0.2787324555659658,1.3665338110004086
buffer,quadratic,F0,N3,adam,4,2000,0.01,-1,0.8689577657175496,0.043293745934731065,0.3101433003863376,1.3699245779935154
buffer,quadratic,F0,N3,adamw,0,2000,0.01,-1,1.2708894090711786,0.018830371716363425,0.44301352397518573,1.3986428670032183
buffer,quadratic,F0,N3,adamw,1,2000,0.01,-1,0.8846822499900382,0.06747951506040559,0.33550941815476365,1.3713684120011749
buffer,quadratic,F0,N3,adamw,2,2000,0.01,-1,1.0386102152276306,0.06403389715390051,0.4167638463079707,1.3690164369982085
buffer,quadratic,F0,N3,adamw,3,2000,0.01,-1,0.8568088158532575,0.05224435919901266,0.27870591862942296,1.3997193690011045
buffer,quadratic,F0,N3,adamw,4,2000,0.01,-1,0.8689010837388786,0.04328192515824825,0.3101202282464934,0.8807325590023538
buffer,quadratic,F0,N4,sgd,0,2000,0.01,-1,2.8755343860019105,0.18106098990822866,0.512104308374744,3.1083893300019554
buffer,quadratic,F0,N4,sgd,1,2000,0.01,-1,2.512804487501555,0.2194121343236461,0.4261237508009125,3.077223126005265
buffer,quadratic,F0,N4,sgd,2,2000,0.01,-1,2.9276156371490076,0.48697273000600166,0.8769493143989661,3.2326544240058865
buffer,quadratic,F0,N4,sgd,3,2000,0.01,-1,1.1396995713279499,0.13614994220218338,0.4145086445342982,5.17805469599989
buffer,quadratic,F0,N4,sgd,4,2000,0.01,-1,1.7416222998338389,0.1674564985231286,0.47228566545021544,5.18288505700184
buffer,quadratic,F0,N4,adam,0,2000,0.01,-1,2.2113894608973514,0.04125217508120649,0.36255644021924616,3.2577438940061256
buffer,quadratic,F0,N4,adam,1,2000,0.01,-1,1.3161996209629316,0.06619081453650358,0.281341212246732,5.020758603001013
buffer,quadratic,F0,N4,adam,2,2000,0.01,-1,1.7733874122076063,0.14561954991475312,0.49725551165306653,5.102563096996164
buffer,quadratic,F0,N4,adam,3,2000,0.01,-1,1.4606192999902126,0.1327017890348045,0.36178880864044477,5.11276001099759
buffer,quadratic,F0,N4,adam,4,2000,0.01,-1,0.8994241096769241,0.0955854592361042,0.43079773953349215,5.103576608998992
buffer,quadratic,F0,N4,adamw,0,2000,0.01,-1,2.2113033768333534,0.041235373650809926,0.3625271955633259,5.023841980000725
buffer,quadratic,F0,N4,adamw,1,2000,0.01,-1,1.316136290900442,0.06618252609092393,0.2813295222290661,5.115866277999885
buffer,quadratic,F0,N4,adamw,2,2000,0.01,-1,1.77312707505178,0.14556686501717442,0.4971918328271529,3.123984316000133
buffer,quadratic,F0,N4,adamw,3,2000,0.01,-1,1.4605070368222266,0.13268220119991475,0.3617644978400549,3.113687500997912
buffer,quadratic,F0,N4,adamw,4,2000,0.01,-1,0.8992893478563453,0.09554186209392174,0.43072228844318694,3.261440111004049
buffer,quadratic,F1,N1,sgd,0,2000,0.01,-1,0.28240150389834795,-0.140987430957622,0.16263322611805603,1.6368418499987456
buffer,quadratic,F1,N1,sgd,1,2000,0.01,-1,0.18698206971696807,-0.037204774295748214,0.1462459139753988,3.1198542550046113
buffer,quadratic,F1,N1,sgd,2,2000,0.01,-1,0.3671635776630417,-0.07014972152046631,0.20131669581194309,1.6142710269996314
buffer,quadratic,F1,N1,sgd,3,2000,0.01,-1,0.1979631191177531,-0.026874814200551836,0.13617656860263072,3.1225375209978665
buffer,quadratic,F1,N1,sgd,4,2000,0.01,-1,0.18387926717092282,-0.03851984831000446,0.1522721832474094,3.1086640680005075
buffer,quadratic,F1,N1,adam,0,2000,0.01,-1,6.107016500395062,0.24229049359756472,0.4041987555691537,3.1130936589979683
buffer,quadratic,F1,N1,adam,1,2000,0.01,-1,1.9957250107012567,0.14009183288431692,0.3477077835765471,3.1205498260023887
buffer,quadratic,F1,N1,adam,2,2000,0.01,-1,3.2633796859649062,0.1633969479695679,0.39446959264444936,3.0579178080006386
buffer,quadratic,F1,N1,adam,3,2000,0.01,-1,2.4808569813443775,0.14523068825250382,0.2960155670094261,3.122325839998666
buffer,quadratic,F1,N1,adam,4,2000,0.01,-1,2.947705798078632,0.17254353710209142,0.3463912235319693,3.0596233920005034
buffer,quadratic,F1,N1,adamw,0,2000,0.01,-1,6.106531226737865,0.24226371586878837,0.4041905087810039,1.5521081689948915
buffer,quadratic,F1,N1,adamw,1,2000,0.01,-1,1.9957060289413282,0.14008919064201272,0.3477043752823209,1.6347826450000866
buffer,quadratic,F1,N1,adamw,2,2000,0.01,-1,3.2633085931563106,0.16339103325690507,0.39446399612935024,1.5204545039960067
buffer,quadratic,F1,N1,adamw,3,2000,0.01,-1,2.481153903952252,0.1452458079761222,0.2960203843667323,1.6251698419946479
buffer,quadratic,F1,N1,adamw,4,2000,0.01,-1,2.9472396840638804,0.17251779893109992,0.3463800582852826,1.5838520039978903
buffer,quadratic,F1,N2,sgd,0,2000,0.01,-1,0.35347311528521563,-0.1386492497694206,0.16077954709925893,3.323842177000188
buffer,quadratic,F1,N2,sgd,1,2000,0.01,-1,0.2704874713043903,-0.023589466904583606,0.18099466970214517,3.3457678990016575
