alpha_threshold,noise,seed,delta_snr_db
1.7,N5,1,18.82373980134447
1.7,N5,2,21.165060868335512
1.7,N5,3,23.232528774889065
1.7,N5,4,15.513980605404287
1.7,N5,5,16.638171789982778
1.7,N5,6,16.18545413287817
1.7,N5,7,27.854818782270197
1.7,N5,8,15.154527166328597
1.7,N5,9,17.04331294657688
1.7,N6,0,12.94005409415307
1.7,N6,1,13.534107881243347
1.7,N6,2,15.129730074444149
1.7,N6,3,13.091512785461466
1.7,N6,4,12.671619674291478
1.7,N6,5,13.125829467773817
1.7,N6,6,13.194502960900879
1.7,N6,7,14.416756109264234
1.7,N6,8,12.95479219798675
1.7,N6,9,13.160326407602511
1.85,N1,0,12.580714431203518
1.85,N1,1,12.766881697796668
1.85,N1,2,13.88867448406905
1.85,N1,3,13.428053593011512
1.85,N1,4,12.671752413467642
1.85,N1,5,12.881240010709641
1.85,N1,6,11.915992954109107
1.85,N1,7,13.791976014316138
1.85,N1,8,12.785835272452113
1.85,N1,9,13.034427048641007
1.85,N2,0,7.515004931627167
1.85,N2,1,7.001687828212039
1.85,N2,2,7.302829015926639
1.85,N2,3,7.638105256180637
1.85,N2,4,7.475866702694388
1.85,N2,5,7.405700974560447
1.85,N2,6,6.602412937875297
1.85,N2,7,8.067969801240256
1.85,N2,8,7.010046475253748
1.85,N2,9,8.64760447907932
1.85,N3,0,18.006147194061878
1.85,N3,1,18.829084038935896
1.85,N3,2,16.72139313645326
1.85,N3,3,19.67091415231185
1.85,N3,4,17.318639903189634
1.85,N3,5,39.797700331613925
1.85,N3,6,20.352165884963185
1.85,N3,7,18.06926640413023
1.85,N3,8,19.975665981871394
1.85,N3,9,16.447058464269656
1.85,N4,0,8.669253034640885
1.85,N4,1,8.628066339985251
1.85,N4,2,9.10705809643077
1.85,N4,3,9.001543335508995
1.85,N4,4,8.893568600084262
1.85,N4,5,9.07948138695782
1.85,N4,6,8.034721832877763
1.85,N4,7,8.758111167612327
1.85,N4,8,9.07529015205747
1.85,N4,9,8.821934515473444
1.85,N5,0,15.3527647469389
1.85,N5,1,18.82373980134447
1.85,N5,2,21.165060868335512
1.85,N5,3,23.232528774889065
1.85,N5,4,15.513980605404287
1.85,N5,5,17.199057785649167
1.85,N5,6,16.18545413287817
1.85,N5,7,27.854818782270197
1.85,N5,8,13.334263134899738
1.85,N5,9,17.04331294657688
1.85,N6,0,12.94005409415307
1.85,N6,1,15.955325202621298
1.85,N6,2,16.171059869084697
1.85,N6,3,14.575047282579952
1.85,N6,4,12.671619674291478
1.85,N6,5,13.125829467773817
1.85,N6,6,15.754283760720764
1.85,N6,7,14.416756109264234
1.85,N6,8,12.95479219798675
1.85,N6,9,15.182078435263875
1.9,N1,0,12.580714431203518
1.9,N1,1,12.766881697796668
1.9,N1,2,11.643899607431077
1.9,N1,3,13.428053593011512
1.9,N1,4,12.671752413467642
1.9,N1,5,12.881240010709641
1.9,N1,6,11.222617650866189
1.9,N1,7,13.791976014316138
1.9,N1,8,12.785835272452113
1.9,N1,9,13.034427048641007
1.9,N2,0,7.515004931627167
1.9,N2,1,7.001687828212039
1.9,N2,2,7.302829015926639
1.9,N2,3,5.806309953145491
1.9,N2,4,7.475866702694388
1.9,N2,5,7.405700974560447
1.9,N2,6,6.602412937875297
1.9,N2,7,8.067969801240256
1.9,N2,8,7.010046475253748
1.9,N2,9,8.64760447907932
1.9,N3,0,18.006147194061878
1.9,N3,1,18.829084038935896
1.9,N3,2,16.72139313645326
1.9,N3,3,19.67091415231185
1.9,N3,4,17.318639903189634
1.9,N3,5,39.797700331613925
1.9,N3,6,20.352165884963185
1.9,N3,7,18.06926640413023
1.9,N3,8,19.975665981871394
1.9,N3,9,16.447058464269656
1.9,N4,0,8.669253034640885
1.9,N4,1,8.628066339985251
1.9,N4,2,9.10705809643077
1.9,N4,3,9.001543335508995
1.9,N4,4,8.893568600084262
1.9,N4,5,9.07948138695782
1.9,N4,6,8.034721832877763
1.9,N4,7,8.758111167612327
1.9,N4,8,9.07529015205747
1.9,N4,9,8.821934515473444
1.9,N5,0,15.3527647469389
1.9,N5,1,18.82373980134447
1.9,N5,2,21.165060868335512
1.9,N5,3,23.232528774889065
