noise,sigma,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
N1,0.4,F4,sgd,0,0.007444148298138277,0.826
N1,0.4,F4,sgd,1,0.01508800513749708,0.83
N1,0.4,F4,sgd,2,0.011234537388113548,0.828
N1,0.4,F4,sgd,3,0.009092049676327523,0.825
N1,0.4,F4,adam,0,0.018494096120257927,0.799
N1,0.4,F4,adam,1,0.03673256402335097,0.77
N1,0.4,F4,adam,2,0.022954156941125254,0.798
N1,0.4,F4,adam,3,0.0164920315571689,0.816
N1,0.4,F7,sgd,0,0.006779469428595096,0.82
N1,0.4,F7,sgd,1,0.013954800875040444,0.826
N1,0.4,F7,sgd,2,0.00787366390044609,0.835
N1,0.4,F7,sgd,3,0.008117662629274025,0.838
N1,0.4,F7,adam,0,0.017308208118408688,0.794
N1,0.4,F7,adam,1,0.03136077588465608,0.79
N1,0.4,F7,adam,2,0.016730483700359077,0.82
N1,0.4,F7,adam,3,0.014582951103682785,0.822
N1,0.4,F8,sgd,0,0.00704062700974354,0.821
N1,0.4,F8,sgd,1,0.01491478455251049,0.824
N1,0.4,F8,sgd,2,0.00788894691868115,0.832
N1,0.4,F8,sgd,3,0.008209352948657128,0.837
N1,0.4,F8,adam,0,0.017586908196925353,0.792
N1,0.4,F8,adam,1,0.03230502528198613,0.787
N1,0.4,F8,adam,2,0.01682332315708872,0.823
N1,0.4,F8,adam,3,0.014901339928853313,0.823
N1,0.6,F0,sgd,0,0.011395503638302345,0.825
N1,0.6,F0,sgd,1,0.028461861806332683,0.797
N1,0.6,F0,sgd,2,0.021541132409457254,0.807
N1,0.6,F0,sgd,3,0.01586673525145064,0.823
N1,0.6,F0,adam,0,0.0160700505915222,0.818
N1,0.6,F0,adam,1,0.04082057057607138,0.765
N1,0.6,F0,adam,2,0.025927563891382562,0.809
N1,0.6,F0,adam,3,0.019225743950141937,0.812
N1,0.6,F2,sgd,0,0.011834434917716383,0.823
N1,0.6,F2,sgd,1,0.031037681686432988,0.796
N1,0.6,F2,sgd,2,0.02213645823516118,0.812
N1,0.6,F2,sgd,3,0.015901041990809214,0.815
N1,0.6,F2,adam,0,0.029083853869898174,0.801
N1,0.6,F2,adam,1,0.0686825625952009,0.737
N1,0.6,F2,adam,2,0.03896884543537943,0.795
N1,0.6,F2,adam,3,0.02406980792198335,0.805
N1,0.6,F4,sgd,0,0.014307598138451777,0.807
N1,0.6,F4,sgd,1,0.030517680923877046,0.804
N1,0.6,F4,sgd,2,0.023713489430567856,0.803
N1,0.6,F4,sgd,3,0.017061158013078975,0.813
N1,0.6,F4,adam,0,0.024476872990799516,0.792
N1,0.6,F4,adam,1,0.051999280507334156,0.763
N1,0.6,F4,adam,2,0.03391705240868391,0.784
N1,0.6,F4,adam,3,0.023317675749849515,0.802
N1,0.6,F7,sgd,0,0.013094654102429819,0.812
N1,0.6,F7,sgd,1,0.02806128414230306,0.802
N1,0.6,F7,sgd,2,0.016416983829916024,0.816
N1,0.6,F7,sgd,3,0.015405827788335354,0.829
N1,0.6,F7,adam,0,0.022904708252118607,0.791
N1,0.6,F7,adam,1,0.04603806018974409,0.77
N1,0.6,F7,adam,2,0.02365758659869518,0.813
N1,0.6,F7,adam,3,0.021510244812524452,0.807
N1,0.6,F8,sgd,0,0.013570823455341914,0.81
N1,0.6,F8,sgd,1,0.02998696177876236,0.794
N1,0.6,F8,sgd,2,0.016454434666217925,0.81
N1,0.6,F8,sgd,3,0.015624341319527103,0.825
N1,0.6,F8,adam,0,0.023271001678356457,0.793
