noise,sigma,filter,optimizer,seed,final_grad_norm_sq,holdout_acc
N3,0.8,F0,sgd,2,0.0629099686603235,0.74
N3,0.8,F0,sgd,3,0.09739224882799351,0.687
N3,0.8,F0,adam,0,0.10594205521611595,0.669
N3,0.8,F0,adam,1,0.03449781620934545,0.796
N3,0.8,F0,adam,2,0.04756774298639326,0.751
N3,0.8,F0,adam,3,0.0913031057019582,0.694
N3,0.8,F2,sgd,0,0.15554040090770668,0.62
N3,0.8,F2,sgd,1,0.03479859545016818,0.797
N3,0.8,F2,sgd,2,0.0559571064554932,0.746
N3,0.8,F2,sgd,3,0.09876997452320826,0.687
N3,0.8,F2,adam,0,0.12352373332196495,0.657
N3,0.8,F2,adam,1,0.04180789295512772,0.79
N3,0.8,F2,adam,2,0.05442410467967707,0.754
N3,0.8,F2,adam,3,0.11208044069703527,0.681
N3,0.8,F4,sgd,0,0.05670518473266114,0.738
N3,0.8,F4,sgd,1,0.03358018329879473,0.787
N3,0.8,F4,sgd,2,0.04910662958957858,0.761
N3,0.8,F4,sgd,3,0.03426974980953069,0.788
N3,0.8,F4,adam,0,0.06395674374176616,0.723
N3,0.8,F4,adam,1,0.041516966367345226,0.776
N3,0.8,F4,adam,2,0.05171002647376836,0.756
N3,0.8,F4,adam,3,0.035418995052692526,0.785
N3,0.8,F7,sgd,0,0.05681128840914337,0.73
N3,0.8,F7,sgd,1,0.024863431207998,0.803
N3,0.8,F7,sgd,2,0.043639780465454615,0.771
N3,0.8,F7,sgd,3,0.033911252312116356,0.786
N3,0.8,F7,adam,0,0.06063126794883714,0.735
N3,0.8,F7,adam,1,0.02903674846727169,0.794
N3,0.8,F7,adam,2,0.04541064563363046,0.763
N3,0.8,F7,adam,3,0.033671384635322335,0.786
N3,0.8,F8,sgd,0,0.05792259116984063,0.727
N3,0.8,F8,sgd,1,0.025372716780432104,0.804
N3,0.8,F8,sgd,2,0.043111370785580985,0.77
N3,0.8,F8,sgd,3,0.03348912566462789,0.783
N3,0.8,F8,adam,0,0.06136732223167877,0.734
N3,0.8,F8,adam,1,0.0296173967818816,0.794
N3,0.8,F8,adam,2,0.04577059767874199,0.76
N3,0.8,F8,adam,3,0.033671376592654276,0.786
N3,1.0,F0,sgd,0,0.1674541708765269,0.601
N3,1.0,F0,sgd,1,0.03846056962865912,0.783
N3,1.0,F0,sgd,2,0.07646694818812715,0.718
N3,1.0,F0,sgd,3,0.13141627782505338,0.656
N3,1.0,F0,adam,0,0.12925338618191634,0.639
N3,1.0,F0,adam,1,0.038108457233284265,0.79
N3,1.0,F0,adam,2,0.059876806514408416,0.742
N3,1.0,F0,adam,3,0.10995897566284481,0.668
N3,1.0,F2,sgd,0,0.17305932277801822,0.594
N3,1.0,F2,sgd,1,0.040498072509459866,0.786
N3,1.0,F2,sgd,2,0.06904340785806487,0.729
N3,1.0,F2,sgd,3,0.1328517585705625,0.653
N3,1.0,F2,adam,0,0.1479930648620695,0.635
N3,1.0,F2,adam,1,0.04595351604072298,0.786
N3,1.0,F2,adam,2,0.06399028948313126,0.732
N3,1.0,F2,adam,3,0.1308312014036411,0.659
N3,1.0,F4,sgd,0,0.07625996591605119,0.718
N3,1.0,F4,sgd,1,0.038832070161295695,0.786
N3,1.0,F4,sgd,2,0.058066103261483086,0.749
N3,1.0,F4,sgd,3,0.04314504868647097,0.767
N3,1.0,F4,adam,0,0.08242156680942768,0.704
N3,1.0,F4,adam,1,0.044339514584686684,0.77
N3,1.0,F4,adam,2,0.05905751974063723,0.741
N3,1.0,F4,adam,3,0.04326352968304468,0.766
N3,1.0,F7,sgd,0,0.07751183897901899,0.715
N3,1.0,F7,sgd,1,0.029143001128900645,0.796
N3,1.0,F7,sgd,2,0.052649011142392954,0.753
N3,1.0,F7,sgd,3,0.044108761991226215,0.773
N3,1.0,F7,adam,0,0.07978599650969659,0.715
N3,1.0,F7,adam,1,0.03204311170642906,0.797
N3,1.0,F7,adam,2,0.05327367936220282,0.744
N3,1.0,F7,adam,3,0.0428027324636612,0.77
N3,1.0,F8,sgd,0,0.0785491258312471,0.714
N3,1.0,F8,sgd,1,0.029644104222814053,0.798
N3,1.0,F8,sgd,2,0.05203258614904626,0.755
N3,1.0,F8,sgd,3,0.04372696776166236,0.771
N3,1.0,F8,adam,0,0.08077667300604012,0.715
N3,1.0,F8,adam,1,0.03265377023204533,0.796
N3,1.0,F8,adam,2,0.05367459435893474,0.743
N3,1.0,F8,adam,3,0.042924133494342216,0.772
N3,1.5,F0,sgd,0,0.19920275407608468,0.576
N3,1.5,F0,sgd,1,0.05234858503630792,0.764
N3,1.5,F0,sgd,2,0.10823284889551389,0.679
N3,1.5,F0,sgd,3,0.19744159215467355,0.578
N3,1.5,F0,adam,0,0.17109049052622996,0.59
N3,1.5,F0,adam,1,0.04556354704448603,0.764
N3,1.5,F0,adam,2,0.0914636047587287,0.693
N3,1.5,F0,adam,3,0.14518125880314678,0.633
N3,1.5,F2,sgd,0,0.2046767785034933,0.577
N3,1.5,F2,sgd,1,0.053581289692450455,0.763
N3,1.5,F2,sgd,2,0.09896276338119848,0.69
N3,1.5,F2,sgd,3,0.19900900042415284,0.573
N3,1.5,F2,adam,0,0.1841385281738119,0.59
N3,1.5,F2,adam,1,0.05351094941737415,0.764
N3,1.5,F2,adam,2,0.09167458061477045,0.693
N3,1.5,F2,adam,3,0.16766387784330924,0.61
N3,1.5,F4,sgd,0,0.11748113191610109,0.667
N3,1.5,F4,sgd,1,0.04783625339573586,0.767
N3,1.5,F4,sgd,2,0.07461437589499627,0.721
N3,1.5,F4,sgd,3,0.06077153971362063,0.73
N3,1.5,F4,adam,0,0.12111700619590836,0.656
N3,1.5,F4,adam,1,0.051822908465106766,0.759
N3,1.5,F4,adam,2,0.07379919812084097,0.724
N3,1.5,F4,adam,3,0.05959472653869222,0.728
N3,1.5,F7,sgd,0,0.1205652100553172,0.664
N3,1.5,F7,sgd,1,0.03852692429798893,0.782
N3,1.5,F7,sgd,2,0.07127781268787654,0.722
N3,1.5,F7,sgd,3,0.06504428611057068,0.735
N3,1.5,F7,adam,0,0.12057248970661437,0.671
N3,1.5,F7,adam,1,0.04095013944741622,0.782
N3,1.5,F7,adam,2,0.07036597219927533,0.718
N3,1.5,F7,adam,3,0.0638342626043821,0.735
N3,1.5,F8,sgd,0,0.12127068735913282,0.664
N3,1.5,F8,sgd,1,0.03897549268688687,0.784
N3,1.5,F8,sgd,2,0.07041423114279212,0.721
N3,1.5,F8,sgd,3,0.06505185254166293,0.734
N3,1.5,F8,adam,0,0.12230137990113336,0.67
N3,1.5,F8,adam,1,0.04166650666423327,0.779
N3,1.5,F8,adam,2,0.0707568751510791,0.719
N3,1.5,F8,adam,3,0.06428171090213744,0.735
N3,2.0,F0,sgd,0,0.22139746553262088,0.562
N3,2.0,F0,sgd,1,0.06371789944043116,0.747
N3,2.0,F0,sgd,2,0.13629575503844774,0.641
N3,2.0,F0,sgd,3,0.2434468414766375,0.535
N3,2.0,F0,adam,0,0.19865246475378395,0.553
N3,2.0,F0,adam,1,0.052309183551774545,0.754
N3,2.0,F0,adam,2,0.12044493363314768,0.657
N3,2.0,F0,adam,3,0.1712444757138444,0.599
N3,2.0,F2,sgd,0,0.22459074968847995,0.565
N3,2.0,F2,sgd,1,0.0650716515668077,0.746
N3,2.0,F2,sgd,2,0.1271180819166216,0.661
N3,2.0,F2,sgd,3,0.2456966588072322,0.53
N3,2.0,F2,adam,0,0.21171614970612088,0.554
N3,2.0,F2,adam,1,0.06134863458378048,0.751
N3,2.0,F2,adam,2,0.12293164668551426,0.66
N3,2.0,F2,adam,3,0.1960686150502443,0.591
N3,2.0,F4,sgd,0,0.14677944468075071,0.626
N3,2.0,F4,sgd,1,0.05659912564947192,0.746
N3,2.0,F4,sgd,2,0.08855037702493486,0.707
N3,2.0,F4,sgd,3,0.07713896664705053,0.715
N3,2.0,F4,adam,0,0.14975552782210144,0.625
N3,2.0,F4,adam,1,0.06101362114450172,0.738
N3,2.0,F4,adam,2,0.08600535464445143,0.703
N3,2.0,F4,adam,3,0.07562796910932529,0.715
N3,2.0,F7,sgd,0,0.15467855096865976,0.633
N3,2.0,F7,sgd,1,0.047422412707079496,0.771
N3,2.0,F7,sgd,2,0.086365080838349,0.695
N3,2.0,F7,sgd,3,0.08371054566903327,0.708
N3,2.0,F7,adam,0,0.15180159871370377,0.635
N3,2.0,F7,adam,1,0.05059579482378563,0.762
N3,2.0,F7,adam,2,0.08435999114693589,0.697
N3,2.0,F7,adam,3,0.0831058954849373,0.707
N3,2.0,F8,sgd,0,0.1552805384839845,0.632
N3,2.0,F8,sgd,1,0.047616351381390656,0.772
N3,2.0,F8,sgd,2,0.08553355745818546,0.7
N3,2.0,F8,sgd,3,0.08379880166531781,0.713
N3,2.0,F8,adam,0,0.1540261221610932,0.632
N3,2.0,F8,adam,1,0.05141955737316273,0.763
N3,2.0,F8,adam,2,0.08470532229850147,0.698
N3,2.0,F8,adam,3,0.08354335053542848,0.706
