ticker,filter,optimizer,snr_target,holdout_mse,snr_in_db,snr_out_db
equity,F0,sgd,3.0,0.08289656803096311,3.0000000005697243,4.094084508278971
equity,F0,adam,3.0,0.0828965687924029,3.0000000005697243,4.094084508278971
equity,F0,adamw,3.0,0.08289649980574339,3.0000000005697243,4.094084508278971
equity,F1 MA,sgd,3.0,0.05344088577287971,3.0000000005697243,10.535789573486895
equity,F1 MA,adam,3.0,0.053651993638688444,3.0000000005697243,10.535789573486895
equity,F1 MA,adamw,3.0,0.053650978299164764,3.0000000005697243,10.535789573486895
equity,F2 Kalman,sgd,3.0,0.0538060342869254,3.0000000005697243,9.56638152107167
equity,F2 Kalman,adam,3.0,0.048335101529372655,3.0000000005697243,9.56638152107167
equity,F2 Kalman,adamw,3.0,0.04833508863324629,3.0000000005697243,9.56638152107167
equity,F3 Wavelet,sgd,3.0,0.011162128373691472,3.0000000005697243,18.266827378421574
equity,F3 Wavelet,adam,3.0,0.011320112346487327,3.0000000005697243,18.266827378421574
equity,F3 Wavelet,adamw,3.0,0.011320016347141007,3.0000000005697243,18.266827378421574
equity,F4 Median,sgd,3.0,0.07304772748680681,3.0000000005697243,9.44337534028096
equity,F4 Median,adam,3.0,0.0730605814675068,3.0000000005697243,9.44337534028096
equity,F4 Median,adamw,3.0,0.07306041708602955,3.0000000005697243,9.44337534028096
equity,F0,sgd,0.0,0.14845246376254384,5.697237028748462e-10,1.0940845082789705
equity,F0,adam,0.0,0.1484524637625463,5.697237028748462e-10,1.0940845082789705
equity,F0,adamw,0.0,0.14845234792840017,5.697237028748462e-10,1.0940845082789705
equity,F1 MA,sgd,0.0,0.09955299070542044,5.697237028748462e-10,7.555766898306224
equity,F1 MA,adam,0.0,0.1010494616543192,5.697237028748462e-10,7.555766898306224
equity,F1 MA,adamw,0.0,0.10104792303250759,5.697237028748462e-10,7.555766898306224
equity,F2 Kalman,sgd,0.0,0.05938035335488154,5.697237028748462e-10,9.244634002833793
equity,F2 Kalman,adam,0.0,0.06012684056476112,5.697237028748462e-10,9.244634002833793
equity,F2 Kalman,adamw,0.0,0.0601214193079378,5.697237028748462e-10,9.244634002833793
equity,F3 Wavelet,sgd,0.0,0.022466237760250276,5.697237028748462e-10,17.445703927809365
equity,F3 Wavelet,adam,0.0,0.02279173271316621,5.697237028748462e-10,17.445703927809365
equity,F3 Wavelet,adamw,0.0,0.02279152336189059,5.697237028748462e-10,17.445703927809365
