ticker,filter,optimizer,horizon,seed,holdout_mse
AAPL,F0,adam,20,1,0.0001288874274868658
AAPL,F4,adam,20,0,0.00013037527234895912
AAPL,F4,adam,20,1,0.00013037527234895912
AAPL,F7,adam,20,0,0.0001481456251050195
AAPL,F7,adam,20,1,0.00014814562510501948
AAPL,F8,adam,20,0,0.0001481456251050195
AAPL,F8,adam,20,1,0.00014814562510501948
AAPL,F9,adam,20,0,0.005474872643175438
AAPL,F9,adam,20,1,0.005476872701549877
BTC-USD,F0,adam,1,0,0.00156903867068491
BTC-USD,F0,adam,1,1,0.0015690386706849095
BTC-USD,F4,adam,1,0,0.0020122522620614636
BTC-USD,F4,adam,1,1,0.0020122522620614636
BTC-USD,F7,adam,1,0,0.00261290824604638
BTC-USD,F7,adam,1,1,0.0026129082460463813
BTC-USD,F8,adam,1,0,0.00261290824604638
BTC-USD,F8,adam,1,1,0.0026129082460463813
BTC-USD,F9,adam,1,0,0.0045926947531066305
BTC-USD,F9,adam,1,1,0.004595810878570662
BTC-USD,F0,adam,5,0,0.0015738590256698668
BTC-USD,F0,adam,5,1,0.0015738590256698668
BTC-USD,F4,adam,5,0,0.0015859540708766052
BTC-USD,F4,adam,5,1,0.0015859540708766052
BTC-USD,F7,adam,5,0,0.0019395456276104046
BTC-USD,F7,adam,5,1,0.001939545627610405
BTC-USD,F8,adam,5,0,0.0019395456276104046
BTC-USD,F8,adam,5,1,0.001939545627610405
BTC-USD,F9,adam,5,0,0.004445110102392839
BTC-USD,F9,adam,5,1,0.004450740415577899
BTC-USD,F0,adam,10,0,0.001626539198213961
BTC-USD,F0,adam,10,1,0.0016265392003955597
BTC-USD,F4,adam,10,0,0.001657419422570184
BTC-USD,F4,adam,10,1,0.0016573785513918943
BTC-USD,F7,adam,10,0,0.0016314224362314648
BTC-USD,F7,adam,10,1,0.0016314224362314648
BTC-USD,F8,adam,10,0,0.0016314224362314648
BTC-USD,F8,adam,10,1,0.0016314224362314648
BTC-USD,F9,adam,10,0,0.0040548681097414075
BTC-USD,F9,adam,10,1,0.004061374877729123
BTC-USD,F0,adam,20,0,0.001702967903137075
BTC-USD,F0,adam,20,1,0.0017029679031015873
BTC-USD,F4,adam,20,0,0.0016899548144318037
BTC-USD,F4,adam,20,1,0.0016899376999483116
BTC-USD,F7,adam,20,0,0.0017157150549163929
BTC-USD,F7,adam,20,1,0.0017157150549163929
BTC-USD,F8,adam,20,0,0.0017157150549163929
BTC-USD,F8,adam,20,1,0.0017157150549163929
BTC-USD,F9,adam,20,0,0.004040922997127264
BTC-USD,F9,adam,20,1,0.004036917531954067
BTC-USD,F0,adam,1,0,0.0005465756441397798
BTC-USD,F0,adam,1,1,0.0005465756441397798
BTC-USD,F4,adam,1,0,0.0007086344920258947
BTC-USD,F4,adam,1,1,0.0007086344920258947
BTC-USD,F7,adam,1,0,0.0014472135403542962
BTC-USD,F7,adam,1,1,0.0014472367424647598
BTC-USD,F8,adam,1,0,0.0014472135403542962
BTC-USD,F8,adam,1,1,0.0014472367424647598
BTC-USD,F9,adam,1,0,0.0013999804733644094
BTC-USD,F9,adam,1,1,0.0014021828801568969
BTC-USD,F0,adam,5,0,0.0005637131110943311
BTC-USD,F0,adam,5,1,0.0005637131110943311
BTC-USD,F4,adam,5,0,0.0005609882019573315
BTC-USD,F4,adam,5,1,0.0005609882019573315
BTC-USD,F7,adam,5,0,0.0010328725740326044
BTC-USD,F7,adam,5,1,0.001032872574032628
