domain,model,optimizer,alpha_hat,hurst_hat,bucket,best_filter,speedup,best_holdout,f0_holdout,f0_conv_frac
atm_withdrawals,classification,adam,1.7651998714652959,0.0766778240174895,heavy_short,F4,0.23201438848920863,0.8293768545994066,0.8271513353115727,1.0
atm_withdrawals,classification,sgd,1.7651998714652959,0.0766778240174895,heavy_short,F6,0.3273891175125743,0.8345697329376855,0.8286350148367954,1.0
atm_withdrawals,regression,adam,1.7651998714652959,0.0766778240174895,heavy_short,F1,1.725,0.6393735674568186,0.6263013375874045,1.0
atm_withdrawals,regression,sgd,1.7651998714652959,0.0766778240174895,heavy_short,F1,0.6723404255319149,0.6503778396425717,0.6227156582112813,1.0
cmapss_turbofan,classification,adam,2.0,0.0994538654098711,light_short,F6,1.0,0.8793103448275862,0.8793103448275862,1.0
cmapss_turbofan,classification,sgd,2.0,0.0994538654098711,light_short,F6,1.0,0.8879310344827587,0.8879310344827587,1.0
cmapss_turbofan,regression,adam,2.0,0.0994538654098711,light_short,F6,1.0,0.31565899753672944,0.31565899753672944,1.0
cmapss_turbofan,regression,sgd,2.0,0.0994538654098711,light_short,F4,1.0327868852459017,0.3005476973907086,0.30764850067798755,1.0
electricity_load,classification,adam,1.8723999999999998,0.7899848755568584,heavy_long,F6,0.9254545454545454,0.8616953877344146,0.897934617334009,1.0
electricity_load,classification,sgd,1.8723999999999998,0.7899848755568584,heavy_long,F6,0.9309557774607703,0.8532691332995439,0.8874176381145464,1.0
electricity_load,regression,adam,1.8723999999999998,0.7899848755568584,heavy_long,F0,1.0,0.13170601975217636,0.13170601975217636,1.0
electricity_load,regression,sgd,1.8723999999999998,0.7899848755568584,heavy_long,F0,1.0,0.13086096081424942,0.13086096081424942,1.0
financial_15m,classification,adam,1.5410161567776177,0.07878494618365484,heavy_short,F0,1.0,0.511350407450524,0.511350407450524,0.08333333333333333
financial_15m,classification,sgd,1.5410161567776177,0.07878494618365484,heavy_short,F0,1.0,0.5148428405122236,0.5148428405122236,1.0
financial_15m,regression,adam,1.5410161567776177,0.07878494618365484,heavy_short,F2,80.35416666666667,0.548449195263782,0.5474615982638651,0.5
financial_15m,regression,sgd,1.5410161567776177,0.07878494618365484,heavy_short,F6,0.2982456140350877,0.5588982231468957,0.5480573184018075,1.0
financial_5m,classification,adam,1.6045034799830389,0.065512179142625,heavy_short,F0,1.0,0.5020376479720551,0.5020376479720551,0.0
