domain,model,optimizer,filter,n_cells,causal,t_conv_med,conv_frac,floor_p50_med,slope_mean,auc_mean,holdout_med,alpha_hat_med,hurst_hat_med,speedup_vs_F0,floor_ratio_vs_F0,bucket
atm_withdrawals,regression,adam,F6,4,1,71.0,1.0,0.0007129678670843831,0.2529541374462804,-3.1054170933272904,0.6219646560404198,1.7651998714652959,0.0766778240174895,0.4859154929577465,1.930767126443806,heavy_short
atm_withdrawals,regression,adam,F7,4,1,67.5,1.0,0.0003881512472201392,0.29261870551290536,-3.34959919820994,0.5871906894514696,1.7651998714652959,0.0766778240174895,0.5111111111111111,3.546491038830959,heavy_short
atm_withdrawals,regression,sgd,F0,4,1,79.0,1.0,7.51121217157067e-05,0.32227831046961297,-3.964127172329913,0.6227156582112813,1.7651998714652959,0.0766778240174895,1.0,1.0,heavy_short
atm_withdrawals,regression,sgd,F1,4,1,117.5,1.0,5.118913936565527e-05,-2.781330802197111,-3.5197700161916274,0.6503778396425717,1.7651998714652959,0.0766778240174895,0.6723404255319149,1.467344883045685,heavy_short
atm_withdrawals,regression,sgd,F2,4,1,165.0,1.0,2.728282313222635e-05,0.05399263619800429,-4.286398352343722,0.6955933632574199,1.7651998714652959,0.0766778240174895,0.47878787878787876,2.753091985813762,heavy_short
atm_withdrawals,regression,sgd,F3,4,0,184.0,1.0,2.530694094436003e-05,0.06158582638446278,-4.308509933799483,0.587360083433311,1.7651998714652959,0.0766778240174895,0.42934782608695654,2.9680442958652566,heavy_short
atm_withdrawals,regression,sgd,F4,4,1,161.5,1.0,6.384191309950936e-05,-1.335736293979585,-3.509320785362294,0.6207773025942137,1.7651998714652959,0.0766778240174895,0.4891640866873065,1.176533065333281,heavy_short
atm_withdrawals,regression,sgd,F5,4,1,154.5,1.0,2.8079780418850657e-05,0.07562571726582551,-4.281976544438573,0.7092844712833538,1.7651998714652959,0.0766778240174895,0.511326860841424,2.6749540272502292,heavy_short
atm_withdrawals,regression,sgd,F6,4,1,184.5,1.0,3.978229206728581e-05,0.46118841451462567,-3.873366926227906,0.6201138347125306,1.7651998714652959,0.0766778240174895,0.4281842818428184,1.8880792888621338,heavy_short
atm_withdrawals,regression,sgd,F7,4,1,177.5,1.0,3.1197148015071885e-05,-1.5112145636454637,-3.703809356980085,0.5884259397899685,1.7651998714652959,0.0766778240174895,0.4450704225352113,2.4076598822244497,heavy_short
