n,mean_log_diff,floor_ratio,t_stat,p_one_sided,cohen_d,ci_lo,ci_hi,wilcoxon_p,perm_p,power,boot_ratio,boot_ratio_lo,boot_ratio_hi,block,model,noise,optimizer,filter,metric,conv_F0,conv_Fk,speedup,p_holm
100,0.0976697739861989,1.2521886817755417,18.921465871844106,5.900512927913548e-35,1.8921465871844105,0.08742754315133443,0.10791200482106338,2.00807784273135e-18,0.0,1.0,1.2306816821060047,1.1641330836548127,1.3169661612062922,A,ar,N2,clipped_sgd,F2,floor,1.0,1.0,,9.086789908986864e-33
100,0.0976697739861989,1.2521886817755417,18.921465871844106,5.900512927913548e-35,1.8921465871844105,0.08742754315133443,0.10791200482106338,2.00807784273135e-18,0.0,1.0,1.2306816821060047,1.1641330836548127,1.3169661612062922,A,ar,N2,sgd,F2,floor,1.0,1.0,,9.086789908986864e-33
100,0.03210848425895438,1.0767341420240444,18.17375836602048,1.3202284646809e-33,1.8173758366020478,0.028602869323906814,0.03561409919400194,2.00807784273135e-18,0.0,1.0,1.073372521809317,1.0454309966823976,1.1054710927483613,A,ar,N2,normalized_sgd,F1,floor,1.0,1.0,,2.006747266314968e-31
100,0.1406375323985842,1.382412118930172,18.004874959048685,2.6899103112362353e-33,1.8004874959048682,0.12513865354281198,0.15613641125435643,2.0696869543572095e-18,0.0,1.0,1.40335872140348,1.2690775861617483,1.4842324967727087,A,ar,N2,clipped_sgd,F3,floor,1.0,1.0,,4.0617645699667155e-31
100,0.1406375323985842,1.382412118930172,18.004874959048685,2.6899103112362353e-33,1.8004874959048682,0.12513865354281198,0.15613641125435643,2.0696869543572095e-18,0.0,1.0,1.40335872140348,1.2690775861617483,1.4842324967727087,A,ar,N2,sgd,F3,floor,1.0,1.0,,4.0617645699667155e-31
100,0.02486297896077115,1.0589195805849574,16.517047190990116,1.661741014794437e-30,1.6517047190990117,0.02187615306213978,0.027849804859402524,8.993794208917655e-17,0.0,1.0,1.0593155856277507,1.0337918080304362,1.0756148792762157,A,quadratic,N2,clipped_sgd,F2,floor,0.0,0.0,,2.475994112043711e-28
100,0.02486297896077115,1.0589195805849574,16.517047190990116,1.661741014794437e-30,1.6517047190990117,0.02187615306213978,0.027849804859402524,8.993794208917655e-17,0.0,1.0,1.0593155856277507,1.0337918080304362,1.0756148792762157,A,quadratic,N2,sgd,F2,floor,0.0,0.0,,2.475994112043711e-28
100,0.038081605051206086,1.0916454401669562,13.189303167029214,7.845636752540074e-24,1.3189303167029216,0.032352555887171924,0.04381065421524025,8.016980364141518e-17,0.0,1.0,1.0783225616593282,1.043352540462535,1.129630647277898,A,quadratic,N2,normalized_sgd,F3,floor,0.0,0.0,,1.1533086026233908e-21
100,0.014934042979461916,1.0349849698653286,12.244835940092797,7.707108951625986e-22,1.2244835940092798,0.01251405292166266,0.01735403303726117,1.1770249788036416e-14,0.0,1.0,1.0398011539073853,1.020997602805285,1.0507483742804937,A,logistic,N1,clipped_sgd,F2,floor,1.0,1.0,,1.125237906937394e-19
100,0.014934042979461916,1.0349849698653286,12.244835940092797,7.707108951625986e-22,1.2244835940092798,0.01251405292166266,0.01735403303726117,1.1770249788036416e-14,0.0,1.0,1.0398011539073853,1.020997602805285,1.0507483742804937,A,logistic,N1,sgd,F2,floor,1.0,1.0,,1.125237906937394e-19
100,0.0432228403952169,1.1046452779141192,12.016508077933617,2.3651556574850316e-21,1.2016508077933616,0.03608570104921717,0.05035997974121663,1.0381118587744338e-16,0.0,1.0,1.0485663191907715,1.0086017691363578,1.2478371756499547,A,ar,N4,sgd,F4,floor,0.04,0.03,,3.4058241467784455e-19
100,0.01469510945751907,1.0344157142082937,11.180722449085433,1.48306454446953e-19,1.1180722449085432,0.012087202372564108,0.017303016542474035,3.5996912469598055e-15,0.0,1.0,1.0330521695444028,1.00777133756328,1.056078353105694,A,ar,N2,clipped_sgd,F1,floor,1.0,1.0,,2.120782298591428e-17
100,0.01469510945751907,1.0344157142082937,11.180722449085433,1.48306454446953e-19,1.1180722449085432,0.012087202372564108,0.017303016542474035,3.5996912469598055e-15,0.0,1.0,1.0330521695444028,1.00777133756328,1.056078353105694,A,ar,N2,sgd,F1,floor,1.0,1.0,,2.120782298591428e-17
100,0.02056929325190371,1.048502072525255,9.472252143896297,7.751408933096696e-16,0.9472252143896297,0.01626050377597321,0.02487808272783421,5.710011498671012e-14,0.0,0.9999999999999958,1.0502226339649603,1.0196026845734845,1.0727318041771077,A,logistic,N1,clipped_sgd,F3,floor,1.0,1.0,,1.0929486595666342e-13
100,0.02056929325190371,1.048502072525255,9.472252143896297,7.751408933096696e-16,0.9472252143896297,0.01626050377597321,0.02487808272783421,5.710011498671012e-14,0.0,0.9999999999999958,1.0502226339649603,1.0196026845734845,1.0727318041771077,A,logistic,N1,sgd,F3,floor,1.0,1.0,,1.0929486595666342e-13
100,0.02846038191384854,1.0677273857176375,9.191207065248616,3.176965946437881e-15,0.9191207065248614,0.022316295305966,0.034604468521731074,1.6701539546839675e-12,0.0,0.9999999999999635,1.0773630247499755,1.0470066919771708,1.0972448126338104,A,ar,N3,normalized_sgd,F4,floor,1.0,1.0,,4.4159826655486543e-13
100,0.004744247047676124,1.0109839176364437,8.805327963197358,2.1943019807548204e-14,0.8805327963197358,0.0036751652992745862,0.0058133287960776625,1.1852676544286427e-12,0.0,0.999999999999372,1.0096811336965272,1.0012923392346933,1.0202548625305223,A,quadratic,N4,sgd,F3,floor,0.0,0.0,,3.028136733441652e-12
