bucket,n,helped,filter,share,med_speedup,max_speedup
light_short,2,0,F0,0.0,1.0,1.0
light_long,2,1,F1,0.5,1.880952380952381,1.880952380952381
heavy_short,10,5,F2,0.5,77.66990291262135,80.35416666666667
heavy_long,3,1,F1,0.3333333333333333,1.6,1.6
