ticker,window,seed,acc,majority
BTC-USD,1,1,0.45,0.54
BTC-USD,1,2,0.44,0.54
BTC-USD,3,0,0.695,0.54
BTC-USD,3,1,0.69,0.54
BTC-USD,3,2,0.68,0.54
BTC-USD,5,0,0.7,0.54
BTC-USD,5,1,0.7,0.54
BTC-USD,5,2,0.72,0.54
BTC-USD,7,0,0.715,0.54
BTC-USD,7,1,0.685,0.54
BTC-USD,7,2,0.69,0.54
BTC-USD,9,0,0.65,0.54
BTC-USD,9,1,0.65,0.54
BTC-USD,9,2,0.645,0.54
BTC-USD,13,0,0.58,0.54
BTC-USD,13,1,0.58,0.54
BTC-USD,13,2,0.58,0.54
BTC-USD,17,0,0.56,0.54
BTC-USD,17,1,0.56,0.54
BTC-USD,17,2,0.56,0.54
BTC-USD,21,0,0.54,0.54
BTC-USD,21,1,0.545,0.54
BTC-USD,21,2,0.545,0.54
BTC-USD,31,0,0.575,0.54
BTC-USD,31,1,0.575,0.54
BTC-USD,31,2,0.575,0.54
BTC-USD,51,0,0.56,0.54
BTC-USD,51,1,0.555,0.54
BTC-USD,51,2,0.56,0.54
BTC-USD,1,0,0.55,0.56
BTC-USD,1,1,0.54,0.56
BTC-USD,1,2,0.505,0.56
BTC-USD,3,0,0.695,0.56
BTC-USD,3,1,0.71,0.56
BTC-USD,3,2,0.69,0.56
BTC-USD,5,0,0.65,0.56
BTC-USD,5,1,0.66,0.56
BTC-USD,5,2,0.66,0.56
BTC-USD,7,0,0.63,0.56
BTC-USD,7,1,0.67,0.56
BTC-USD,7,2,0.69,0.56
BTC-USD,9,0,0.645,0.56
BTC-USD,9,1,0.655,0.56
BTC-USD,9,2,0.65,0.56
BTC-USD,13,0,0.605,0.56
BTC-USD,13,1,0.6,0.56
BTC-USD,13,2,0.605,0.56
BTC-USD,17,0,0.55,0.56
BTC-USD,17,1,0.565,0.56
BTC-USD,17,2,0.56,0.56
BTC-USD,21,0,0.555,0.56
BTC-USD,21,1,0.56,0.56
BTC-USD,21,2,0.56,0.56
BTC-USD,31,0,0.58,0.56
BTC-USD,31,1,0.57,0.56
BTC-USD,31,2,0.58,0.56
BTC-USD,51,0,0.55,0.56
BTC-USD,51,1,0.555,0.56
BTC-USD,51,2,0.55,0.56
BTC-USD,1,0,0.475,0.505
BTC-USD,1,1,0.48,0.505
BTC-USD,1,2,0.51,0.505
BTC-USD,3,0,0.655,0.505
BTC-USD,3,1,0.645,0.505
BTC-USD,3,2,0.66,0.505
BTC-USD,5,0,0.655,0.505
BTC-USD,5,1,0.645,0.505
BTC-USD,5,2,0.64,0.505
BTC-USD,7,0,0.61,0.505
BTC-USD,7,1,0.615,0.505
BTC-USD,7,2,0.61,0.505
BTC-USD,9,0,0.61,0.505
BTC-USD,9,1,0.62,0.505
BTC-USD,9,2,0.615,0.505
BTC-USD,13,0,0.605,0.505
BTC-USD,13,1,0.6,0.505
BTC-USD,13,2,0.59,0.505
BTC-USD,17,0,0.585,0.505
BTC-USD,17,1,0.555,0.505
BTC-USD,17,2,0.54,0.505
BTC-USD,21,0,0.53,0.505
BTC-USD,21,1,0.525,0.505
BTC-USD,21,2,0.53,0.505
BTC-USD,31,0,0.525,0.505
BTC-USD,31,1,0.54,0.505
BTC-USD,31,2,0.53,0.505
BTC-USD,51,0,0.55,0.505
BTC-USD,51,1,0.575,0.505
BTC-USD,51,2,0.55,0.505
ETH-USD,1,0,0.43,0.59
ETH-USD,1,1,0.485,0.59
ETH-USD,1,2,0.505,0.59
ETH-USD,3,0,0.725,0.59
ETH-USD,3,1,0.725,0.59
ETH-USD,3,2,0.715,0.59
ETH-USD,5,0,0.685,0.59
ETH-USD,5,1,0.685,0.59
ETH-USD,5,2,0.67,0.59
ETH-USD,7,0,0.625,0.59
ETH-USD,7,1,0.64,0.59
ETH-USD,7,2,0.635,0.59
ETH-USD,9,0,0.595,0.59
ETH-USD,9,1,0.62,0.59
ETH-USD,9,2,0.605,0.59
ETH-USD,13,0,0.61,0.59
ETH-USD,13,1,0.62,0.59
ETH-USD,13,2,0.625,0.59
ETH-USD,17,0,0.615,0.59
ETH-USD,17,1,0.62,0.59
ETH-USD,17,2,0.62,0.59
ETH-USD,21,0,0.61,0.59
ETH-USD,21,1,0.605,0.59
ETH-USD,21,2,0.61,0.59
ETH-USD,31,0,0.605,0.59
ETH-USD,31,1,0.595,0.59
ETH-USD,31,2,0.595,0.59
ETH-USD,51,0,0.585,0.59
ETH-USD,51,1,0.59,0.59
ETH-USD,51,2,0.59,0.59
ETH-USD,1,0,0.435,0.5449999999999999
ETH-USD,1,1,0.47,0.5449999999999999
ETH-USD,1,2,0.465,0.5449999999999999
ETH-USD,3,0,0.715,0.5449999999999999
ETH-USD,3,1,0.72,0.5449999999999999
ETH-USD,3,2,0.635,0.5449999999999999
ETH-USD,5,0,0.67,0.5449999999999999
ETH-USD,5,1,0.645,0.5449999999999999
ETH-USD,5,2,0.645,0.5449999999999999
ETH-USD,7,0,0.645,0.5449999999999999
ETH-USD,7,1,0.63,0.5449999999999999
ETH-USD,7,2,0.61,0.5449999999999999
ETH-USD,9,0,0.615,0.5449999999999999
ETH-USD,9,1,0.595,0.5449999999999999
ETH-USD,9,2,0.61,0.5449999999999999
ETH-USD,13,0,0.565,0.5449999999999999
ETH-USD,13,1,0.56,0.5449999999999999
ETH-USD,13,2,0.57,0.5449999999999999
ETH-USD,17,0,0.545,0.5449999999999999
ETH-USD,17,1,0.535,0.5449999999999999
ETH-USD,17,2,0.52,0.5449999999999999
ETH-USD,21,0,0.545,0.5449999999999999
ETH-USD,21,1,0.565,0.5449999999999999
ETH-USD,21,2,0.565,0.5449999999999999
ETH-USD,31,0,0.535,0.5449999999999999
ETH-USD,31,1,0.535,0.5449999999999999
ETH-USD,31,2,0.52,0.5449999999999999
ETH-USD,51,0,0.54,0.5449999999999999
ETH-USD,51,1,0.54,0.5449999999999999
ETH-USD,51,2,0.54,0.5449999999999999
ETH-USD,1,0,0.57,0.55
ETH-USD,1,1,0.525,0.55
ETH-USD,1,2,0.585,0.55
ETH-USD,3,0,0.64,0.55
ETH-USD,3,1,0.65,0.55
ETH-USD,3,2,0.695,0.55
ETH-USD,5,0,0.645,0.55
ETH-USD,5,1,0.675,0.55
ETH-USD,5,2,0.655,0.55
ETH-USD,7,0,0.665,0.55
ETH-USD,7,1,0.67,0.55
ETH-USD,7,2,0.67,0.55
ETH-USD,9,0,0.625,0.55
ETH-USD,9,1,0.635,0.55
ETH-USD,9,2,0.625,0.55
ETH-USD,13,0,0.625,0.55
ETH-USD,13,1,0.63,0.55
ETH-USD,13,2,0.62,0.55
ETH-USD,17,0,0.585,0.55
ETH-USD,17,1,0.59,0.55
ETH-USD,17,2,0.59,0.55
ETH-USD,21,0,0.575,0.55
ETH-USD,21,1,0.575,0.55
ETH-USD,21,2,0.56,0.55
ETH-USD,31,0,0.595,0.55
ETH-USD,31,1,0.6,0.55
ETH-USD,31,2,0.595,0.55
ETH-USD,51,0,0.585,0.55
ETH-USD,51,1,0.585,0.55
ETH-USD,51,2,0.555,0.55
ETH-USD,1,0,0.47,0.52
ETH-USD,1,1,0.475,0.52
ETH-USD,1,2,0.49,0.52
ETH-USD,3,0,0.675,0.52
ETH-USD,3,1,0.665,0.52
ETH-USD,3,2,0.665,0.52
ETH-USD,5,0,0.665,0.52
ETH-USD,5,1,0.66,0.52
ETH-USD,5,2,0.66,0.52
ETH-USD,7,0,0.66,0.52
ETH-USD,7,1,0.665,0.52
ETH-USD,7,2,0.67,0.52
ETH-USD,9,0,0.63,0.52
ETH-USD,9,1,0.64,0.52
ETH-USD,9,2,0.65,0.52
ETH-USD,13,0,0.61,0.52
ETH-USD,13,1,0.62,0.52
ETH-USD,13,2,0.615,0.52
ETH-USD,17,0,0.585,0.52
ETH-USD,17,1,0.625,0.52
ETH-USD,17,2,0.625,0.52
ETH-USD,21,0,0.585,0.52
ETH-USD,21,1,0.6,0.52
ETH-USD,21,2,0.59,0.52
ETH-USD,31,0,0.55,0.52
ETH-USD,31,1,0.53,0.52
ETH-USD,31,2,0.545,0.52
ETH-USD,51,0,0.495,0.52
