ticker,filter,optimizer,seed,holdout_mse
AAPL,F1,sgd,1,0.00011620867574009862
AAPL,F2,adam,0,2.467494291473898e-06
AAPL,F2,adam,1,2.452633602329401e-06
AAPL,F2,sgd,0,0.00011933645109256579
AAPL,F2,sgd,1,0.00011722663944780259
AAPL,F3,adam,0,1.1133854407085517e-06
AAPL,F3,adam,1,1.1074398824013803e-06
AAPL,F3,sgd,0,0.0001183748701121727
AAPL,F3,sgd,1,0.00011628258109452269
AAPL,F4,adam,0,1.0825589608949725e-06
AAPL,F4,adam,1,1.078860844361188e-06
AAPL,F4,sgd,0,0.00011825402709632395
AAPL,F4,sgd,1,0.00011616396349052805
AAPL,F6,adam,0,1.1238253829873614e-06
AAPL,F6,adam,1,1.1173547391084966e-06
AAPL,F6,sgd,0,0.00011838682179059918
AAPL,F6,sgd,1,0.00011629431559740163
AAPL,F7,adam,0,1.1093703432239703e-06
AAPL,F7,adam,1,1.103777712403772e-06
AAPL,F7,sgd,0,0.00011829248747522616
AAPL,F7,sgd,1,0.00011620170806906228
AAPL,F5,adam,0,0.0015528453307478887
AAPL,F5,adam,1,0.0015528101189383253
AAPL,F5,sgd,0,0.00014404972418604185
AAPL,F5,sgd,1,0.00014174943633220023
AAPL,F9,adam,0,7.3623703991260155e-06
AAPL,F9,adam,1,7.3652932689967885e-06
AAPL,F9,sgd,0,0.00011606160169611185
AAPL,F9,sgd,1,0.00011398486693244975
BTC-USD,F0,adam,0,6.275254633032514e-06
BTC-USD,F0,adam,1,6.2656393159674185e-06
BTC-USD,F0,sgd,0,0.0009126238988440656
BTC-USD,F0,sgd,1,0.0008964752223064174
BTC-USD,F1,adam,0,7.372914246227121e-06
BTC-USD,F1,adam,1,7.322227504433009e-06
BTC-USD,F1,sgd,0,0.0009128632915074154
BTC-USD,F1,sgd,1,0.0008967040067119364
BTC-USD,F2,adam,0,9.071565290249242e-06
BTC-USD,F2,adam,1,8.981990856714374e-06
BTC-USD,F2,sgd,0,0.0009220348435947003
BTC-USD,F2,sgd,1,0.0009057007239790038
BTC-USD,F3,adam,0,6.469082203403082e-06
BTC-USD,F3,adam,1,6.446284638243526e-06
BTC-USD,F3,sgd,0,0.0009181131591833819
BTC-USD,F3,sgd,1,0.0009018632791344112
BTC-USD,F4,adam,0,6.378728718408001e-06
BTC-USD,F4,adam,1,6.364491785815465e-06
BTC-USD,F4,sgd,0,0.0009123120906934104
BTC-USD,F4,sgd,1,0.000896167452050236
BTC-USD,F6,adam,0,6.5509352799527384e-06
BTC-USD,F6,adam,1,6.522736486752607e-06
BTC-USD,F6,sgd,0,0.0009211100370265799
BTC-USD,F6,sgd,1,0.0009048059743887911
BTC-USD,F7,adam,0,6.534899063487988e-06
BTC-USD,F7,adam,1,6.509426477627097e-06
BTC-USD,F7,sgd,0,0.0009170760826787531
BTC-USD,F7,sgd,1,0.0009008442159578259
BTC-USD,F5,adam,0,0.0013405105090354703
BTC-USD,F5,adam,1,0.0013411597437927173
BTC-USD,F5,sgd,0,0.001132304447751772
BTC-USD,F5,sgd,1,0.0011144293595336224
BTC-USD,F9,adam,0,0.0009383680602835253
BTC-USD,F9,adam,1,0.0009374311576711341
BTC-USD,F9,sgd,0,0.0009210601632150838
BTC-USD,F9,sgd,1,0.0009045301579286237
BTC-USD,F0,adam,0,1.0323297356265864e-05
BTC-USD,F0,adam,1,1.0296637183424346e-05
BTC-USD,F0,sgd,0,0.0007632867435513433
BTC-USD,F0,sgd,1,0.000749945560072679
BTC-USD,F1,adam,0,1.0926735059235578e-05
BTC-USD,F1,adam,1,1.0843412375725658e-05
BTC-USD,F1,sgd,0,0.0007638707476768331
BTC-USD,F1,sgd,1,0.0007505158761922096
BTC-USD,F2,adam,0,2.328408159927754e-05
BTC-USD,F2,adam,1,2.313480088516459e-05
BTC-USD,F2,sgd,0,0.0008191977280922177
BTC-USD,F2,sgd,1,0.0008048459808758541
BTC-USD,F3,adam,0,1.0455274656234216e-05
BTC-USD,F3,adam,1,1.0404013111897023e-05
BTC-USD,F3,sgd,0,0.0007665521566867455
BTC-USD,F3,sgd,1,0.0007531505105917613
BTC-USD,F4,adam,0,1.0266649154551605e-05
BTC-USD,F4,adam,1,1.0233248905051167e-05
BTC-USD,F4,sgd,0,0.000763366530645339
BTC-USD,F4,sgd,1,0.0007500230115968915
BTC-USD,F6,adam,0,1.0740089337129791e-05
BTC-USD,F6,adam,1,1.0671244454900866e-05
BTC-USD,F6,sgd,0,0.0007694370855857488
BTC-USD,F6,sgd,1,0.0007559829659682555
BTC-USD,F7,adam,0,1.0494784802127636e-05
BTC-USD,F7,adam,1,1.0438215133481768e-05
BTC-USD,F7,sgd,0,0.0007668263240335523
BTC-USD,F7,sgd,1,0.0007534194293944693
BTC-USD,F5,adam,0,0.001156115660664913
BTC-USD,F5,adam,1,0.001156476649219866
BTC-USD,F5,sgd,0,0.0009370780759179988
BTC-USD,F5,sgd,1,0.0009224011022567117
BTC-USD,F9,adam,0,0.0008811928470513794
BTC-USD,F9,adam,1,0.0008808852659139713
BTC-USD,F9,sgd,0,0.0007629533473466735
BTC-USD,F9,sgd,1,0.0007494330753025604
BTC-USD,F0,adam,0,2.8976653950305903e-06
BTC-USD,F0,adam,1,2.878725409817742e-06
BTC-USD,F0,sgd,0,0.0006048817869281028
BTC-USD,F0,sgd,1,0.0005941873116641745
BTC-USD,F1,adam,0,3.2027491654002504e-06
BTC-USD,F1,adam,1,3.1685952088593764e-06
BTC-USD,F1,sgd,0,0.0006045312297501272
BTC-USD,F1,sgd,1,0.0005938414502461427
BTC-USD,F2,adam,0,6.012504051734764e-06
BTC-USD,F2,adam,1,5.962310637883632e-06
BTC-USD,F2,sgd,0,0.0005950416746876508
BTC-USD,F2,sgd,1,0.000584517548022956
BTC-USD,F3,adam,0,3.073117058585238e-06
BTC-USD,F3,adam,1,3.039842274124015e-06
