ticker,filter,optimizer,seed,steps,final_grad_norm_sq,final_train_loss,holdout_mse_smoothed,holdout_mse_raw,loglik_raw,snr_filter_db,hurst_raw,hurst_smoothed,alpha_raw,alpha_smoothed,elapsed_s
AAPL,F0,sgd,0,1500,2.8977561818913394e-09,0.0002885070174533432,0.0001909774499093947,0.0001909774499093947,2507.824566628721,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.1470671860006405
AAPL,F0,sgd,1,1500,3.967709083376129e-09,0.00028936508065508334,0.00019082106299478138,0.00019082106299478138,2508.1756505828275,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.14768956700572744
AAPL,F0,sgd,2,1500,4.9026969137456146e-09,0.00029010353916005997,0.0001911458242943268,0.0001911458242943268,2507.4549618099486,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.08075044099678053
AAPL,F0,sgd,3,1500,3.870809202870141e-09,0.0002892544806935896,0.00019183509287433922,0.00019183509287433922,2505.873447549816,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.09059012599755079
AAPL,F0,sgd,4,1500,2.1909170773275787e-09,0.0002879223982536086,0.0001910884147430984,0.0001910884147430984,2507.5724521716734,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.07502090599882649
AAPL,F0,adam,0,1500,1.3468574142914639e-39,0.00028598640399418767,0.0001936958140640408,0.0001936958140640408,2501.7538042488186,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.1741437329983455
AAPL,F0,adam,1,1500,6.014118749745916e-16,0.00028598640446224257,0.0001936962400952306,0.0001936962400952306,2501.7528323390043,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.17312939000112237
AAPL,F0,adam,2,1500,9.801016616868847e-37,0.0002859864039941876,0.0001936958140640408,0.0001936958140640408,2501.7538042488186,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.17493564499454806
AAPL,F0,adam,3,1500,4.385928525306808e-15,0.00028598640800161547,0.00019369632455916143,0.00019369632455916143,2501.7528359232415,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.17386556199926417
AAPL,F0,adam,4,1500,1.3949572461429217e-14,0.0002859864149223006,0.00019369807233201203,0.00019369807233201203,2501.7487865421745,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.09176852800010238
AAPL,F0,adamw,0,1500,3.3023660371214904e-22,0.0002859864039941879,0.00019369581246076825,0.00019369581246076825,2501.75380783692,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.17790372200397542
AAPL,F0,adamw,1,1500,3.233935597634136e-20,0.0002859864039942128,0.00019369581524627098,0.00019369581524627098,2501.7538014703605,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.17974782700184733
AAPL,F0,adamw,2,1500,5.893062247109281e-22,0.00028598640399418816,0.0001936958119129467,0.0001936958119129467,2501.753809062955,inf,0.5394331242336259,0.5394331242336259,1.0877986875886343,1.0877986875886343,0.08676888600166421
