ticker,filter,optimizer,seed,train_size,test_size,train_mse,holdout_mse_raw,holdout_loglik_raw,snr_filter_db,hurst_train_raw,hurst_train_smoothed,alpha_train_raw,alpha_train_smoothed
MSFT,F3,adamw,1,1000,200,6.780969093161814e-06,9.352445875704819e-05,643.4527512559049,-13.576229746615962,0.4768783758504077,1.0905273685820596,1.092769681180878,1.458704179669803
MSFT,F3,adamw,2,1000,200,6.780969093161856e-06,9.352445791580611e-05,643.4527521563543,-13.576229746615962,0.4768783758504077,1.0905273685820596,1.092769681180878,1.458704179669803
MSFT,F4,sgd,0,1000,200,1.7593868390445567e-05,8.274849335082261e-05,655.7260880106727,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,sgd,1,1000,200,1.746437297000773e-05,8.290986679854104e-05,655.5305844406305,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,sgd,2,1000,200,1.750697391696035e-05,8.29548617349345e-05,655.4786820129711,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,adam,0,1000,200,1.0700136123966126e-05,0.00011878310517023708,619.540159673251,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,adam,1,1000,200,1.0700136123966126e-05,0.00011878310517023712,619.5401596732509,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,adam,2,1000,200,1.0700136123966126e-05,0.00011878310517023708,619.540159673251,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,adamw,0,1000,200,1.0700136124165838e-05,0.00011878258150610367,619.5406006070959,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,adamw,1,1000,200,1.0700136124157848e-05,0.00011878259207075473,619.540591711422,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F4,adamw,2,1000,200,1.0700136124156271e-05,0.0001187825931580849,619.5405907958099,-10.033137738136709,0.4768783758504077,0.7220513406612038,1.092769681180878,0.593
MSFT,F6,sgd,0,1000,200,1.3210839594803027e-06,8.274938447032656e-05,655.7250490334,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,sgd,1,1000,200,1.2972474656061306e-06,8.291058146312615e-05,655.5297596278635,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,sgd,2,1000,200,1.3641767601658185e-06,8.295534727396971e-05,655.4781381696978,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,adam,0,1000,200,1.2830849336824407e-09,0.00011072585717221483,626.5563837104437,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,adam,1,1000,200,1.2665819361307557e-09,0.00011100768901930306,626.3021808840857,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,adam,2,1000,200,1.2904716691234938e-09,0.00011092326213854473,626.3782666115079,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,adamw,0,1000,200,1.2839219294131538e-09,0.00011071550821281906,626.5657306057394,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,adamw,1,1000,200,1.2674216446095707e-09,0.00011099698357010669,626.3118252098966,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F6,adamw,2,1000,200,1.2913294282328495e-09,0.00011091221674997487,626.3882247677565,-22.408043180021426,0.4768783758504077,1.9635118932599334,1.092769681180878,1.9001331417876226
MSFT,F7,sgd,0,1000,200,1.3159681833460037e-06,8.274908997364823e-05,655.7254089280692,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,sgd,1,1000,200,1.297612928238879e-06,8.291027518067454e-05,655.5301329849422,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,sgd,2,1000,200,1.345431910882364e-06,8.295508812003894e-05,655.4784546306419,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,adam,0,1000,200,3.391174868387377e-08,0.00034110169056615944,514.0446266676756,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,adam,1,1000,200,3.3775450977419244e-08,0.0003437007854339139,513.2855438197406,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,adam,2,1000,200,3.392622446997933e-08,0.0003408640269176855,514.1143249789155,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,adamw,0,1000,200,3.3917486843519575e-08,0.00034097141128931735,514.08282768372,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,adamw,1,1000,200,3.378121051717902e-08,0.00034356716586179644,513.3244281379433,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
MSFT,F7,adamw,2,1000,200,3.393210075044584e-08,0.0003407314006383889,514.1532414478261,-22.343281637402526,0.4768783758504077,1.2658873875596672,1.092769681180878,1.4649576561795343
QQQ,F0,sgd,0,1000,200,0.00019553180175748512,0.00014287440340423946,601.861663563562,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F0,sgd,1,1000,200,0.0001966775769347296,0.00014352667920660905,601.3846766583655,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F0,sgd,2,1000,200,0.0001979677339182455,0.00014394185074954595,601.1362465850711,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
QQQ,F0,adam,0,1000,200,0.00018685837845439213,0.00014652044645823675,599.498716985051,inf,0.5305666406944348,0.5305666406944348,1.021581561674994,1.021581561674994
