stage1_mcnemar_p,rate_gain,hit_F0,hit_Fk,n_both,speedup_both,t_stat,p_cond,cohen_d,block,model,noise,optimizer,filter
1.0,0.0,1.0,1.0,100,0.9956402009648944,-2.0425737672605355,0.9781235790211877,-0.20425737672605357,A,logistic,N1,clipped_sgd,F2
1.0,0.0,1.0,1.0,100,1.0049320103444104,1.1597271512393874,0.12447463014060746,0.11597271512393875,A,logistic,N1,clipped_sgd,F3
1.0,0.0,1.0,1.0,100,0.9621476399230847,-5.929723005175084,0.9999999777288208,-0.5929723005175085,A,logistic,N1,clipped_sgd,F4
1.0,0.0,1.0,1.0,100,0.96339194761946,-6.004343660759046,0.9999999840855966,-0.6004343660759046,A,logistic,N1,clipped_sgd,F5
1.0,0.0,1.0,1.0,100,1.2457075605489276,9.182389604163612,3.320617168929107e-15,0.9182389604163613,A,logistic,N1,normalized_sgd,F1
1.0,0.0,1.0,1.0,100,1.3687662459978978,11.768367368634385,8.038550865199863e-21,1.1768367368634385,A,logistic,N1,normalized_sgd,F2
1.0,0.0,1.0,1.0,100,1.5355272588475481,18.01623805925862,2.563847171973866e-33,1.8016238059258622,A,logistic,N1,normalized_sgd,F3
1.0,0.0,1.0,1.0,100,1.0333434206192915,1.2888978690737245,0.10021862731669832,0.12888978690737246,A,logistic,N1,normalized_sgd,F4
1.0,0.0,1.0,1.0,100,1.2093450344530305,6.90892253707466,2.388502438525429e-10,0.6908922537074661,A,logistic,N1,normalized_sgd,F5
1.0,0.0,1.0,1.0,100,0.9942836497808718,-4.132995320130441,0.9999624912980583,-0.41329953201304404,A,logistic,N1,sgd,F1
1.0,0.0,1.0,1.0,100,0.9956402009648944,-2.0425737672605355,0.9781235790211877,-0.20425737672605357,A,logistic,N1,sgd,F2
1.0,0.0,1.0,1.0,100,1.0049320103444104,1.1597271512393874,0.12447463014060746,0.11597271512393875,A,logistic,N1,sgd,F3
1.0,0.0,1.0,1.0,100,0.9621476399230847,-5.929723005175084,0.9999999777288208,-0.5929723005175085,A,logistic,N1,sgd,F4
1.0,0.0,1.0,1.0,100,0.96339194761946,-6.004343660759046,0.9999999840855966,-0.6004343660759046,A,logistic,N1,sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,clipped_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,clipped_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,clipped_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,clipped_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,clipped_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,normalized_sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,normalized_sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,normalized_sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,normalized_sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,normalized_sgd,F5
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,sgd,F1
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,sgd,F2
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,sgd,F3
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,sgd,F4
1.0,0.0,0.0,0.0,0,,,,,A,logistic,N2,sgd,F5
1.0,-0.16,0.16,0.0,0,,,,,A,logistic,N3,clipped_sgd,F1
1.0,-0.16,0.16,0.0,0,,,,,A,logistic,N3,clipped_sgd,F2
1.0,-0.16,0.16,0.0,0,,,,,A,logistic,N3,clipped_sgd,F3
1.0339757656912846e-25,0.83,0.16,0.99,16,1.3331648772225622,7.1187290309108056,1.7569545892067324e-06,1.7796822577277014,A,logistic,N3,clipped_sgd,F4
1.0339757656912846e-25,0.83,0.16,0.99,16,1.3442643623396526,7.050570769437193,1.967149637726901e-06,1.7626426923592982,A,logistic,N3,clipped_sgd,F5
1.0,-0.51,0.51,0.0,0,,,,,A,logistic,N3,normalized_sgd,F1
1.0,-0.51,0.51,0.0,0,,,,,A,logistic,N3,normalized_sgd,F2
1.0,-0.51,0.51,0.0,0,,,,,A,logistic,N3,normalized_sgd,F3
