train,test,filter,optimizer,seed,test_acc,majority
AAPL,EURUSD=X,F0,adam,0,0.6479066575154427,0.6479066575154426
AAPL,EURUSD=X,F0,adam,1,0.6479066575154427,0.6479066575154426
AAPL,EURUSD=X,F0,adam,2,0.6479066575154427,0.6479066575154426
AAPL,EURUSD=X,F4,adam,0,0.6434454358270418,0.6479066575154426
AAPL,EURUSD=X,F4,adam,1,0.6400137268359644,0.6479066575154426
AAPL,EURUSD=X,F4,adam,2,0.6427590940288264,0.6479066575154426
AAPL,EURUSD=X,F7,adam,0,0.4358270418668497,0.6479066575154426
AAPL,EURUSD=X,F7,adam,1,0.44715168153740564,0.6479066575154426
AAPL,EURUSD=X,F7,adam,2,0.40150995195607414,0.6479066575154426
AAPL,EURUSD=X,F8,adam,0,0.4358270418668497,0.6479066575154426
AAPL,EURUSD=X,F8,adam,1,0.44715168153740564,0.6479066575154426
AAPL,EURUSD=X,F8,adam,2,0.40150995195607414,0.6479066575154426
AAPL,EURUSD=X,F9,adam,0,0.4622512010981469,0.6479066575154426
AAPL,EURUSD=X,F9,adam,1,0.4612216884008236,0.6479066575154426
AAPL,EURUSD=X,F9,adam,2,0.4413177762525738,0.6479066575154426
AAPL,GBPUSD=X,F0,adam,0,0.6424159231297186,0.6424159231297186
AAPL,GBPUSD=X,F0,adam,1,0.6424159231297186,0.6424159231297186
AAPL,GBPUSD=X,F0,adam,2,0.6424159231297186,0.6424159231297186
AAPL,GBPUSD=X,F4,adam,0,0.6310912834591627,0.6424159231297186
AAPL,GBPUSD=X,F4,adam,1,0.6304049416609472,0.6424159231297186
AAPL,GBPUSD=X,F4,adam,2,0.6307481125600549,0.6424159231297186
AAPL,GBPUSD=X,F7,adam,0,0.4488675360329444,0.6424159231297186
AAPL,GBPUSD=X,F7,adam,1,0.45847632120796156,0.6424159231297186
AAPL,GBPUSD=X,F7,adam,2,0.41146190803019905,0.6424159231297186
AAPL,GBPUSD=X,F8,adam,0,0.4488675360329444,0.6424159231297186
AAPL,GBPUSD=X,F8,adam,1,0.45847632120796156,0.6424159231297186
AAPL,GBPUSD=X,F8,adam,2,0.41146190803019905,0.6424159231297186
AAPL,GBPUSD=X,F9,adam,0,0.47151681537405626,0.6424159231297186
AAPL,GBPUSD=X,F9,adam,1,0.4698009608785175,0.6424159231297186
AAPL,GBPUSD=X,F9,adam,2,0.4464653397391901,0.6424159231297186
AAPL,JPM,F0,adam,0,0.6379547014413178,0.6376115305422101
AAPL,JPM,F0,adam,1,0.6379547014413178,0.6376115305422101
AAPL,JPM,F0,adam,2,0.63761153054221,0.6376115305422101
AAPL,JPM,F4,adam,0,0.5954015099519561,0.6376115305422101
AAPL,JPM,F4,adam,1,0.5861358956760466,0.6376115305422101
AAPL,JPM,F4,adam,2,0.5929993136582018,0.6376115305422101
AAPL,JPM,F7,adam,0,0.46636925188743994,0.6376115305422101
AAPL,JPM,F7,adam,1,0.4728894989704873,0.6376115305422101
AAPL,JPM,F7,adam,2,0.45332875772134523,0.6376115305422101
AAPL,JPM,F8,adam,0,0.46636925188743994,0.6376115305422101
AAPL,JPM,F8,adam,1,0.4728894989704873,0.6376115305422101
AAPL,JPM,F8,adam,2,0.45332875772134523,0.6376115305422101
AAPL,JPM,F9,adam,0,0.48592999313658203,0.6376115305422101
AAPL,JPM,F9,adam,1,0.4852436513383665,0.6376115305422101
AAPL,JPM,F9,adam,2,0.4790665751544269,0.6376115305422101
AAPL,MSFT,F0,adam,0,0.6283459162663007,0.6283459162663005
AAPL,MSFT,F0,adam,1,0.6283459162663007,0.6283459162663005
AAPL,MSFT,F0,adam,2,0.6283459162663007,0.6283459162663005
AAPL,MSFT,F4,adam,0,0.5857927247769389,0.6283459162663005
AAPL,MSFT,F4,adam,1,0.577213452299245,0.6283459162663005
AAPL,MSFT,F4,adam,2,0.5847632120796157,0.6283459162663005
AAPL,MSFT,F7,adam,0,0.45367192862045297,0.6283459162663005
AAPL,MSFT,F7,adam,1,0.4560741249142073,0.6283459162663005
AAPL,MSFT,F7,adam,2,0.4420041180507893,0.6283459162663005
AAPL,MSFT,F8,adam,0,0.45367192862045297,0.6283459162663005
AAPL,MSFT,F8,adam,1,0.4560741249142073,0.6283459162663005
AAPL,MSFT,F8,adam,2,0.4420041180507893,0.6283459162663005
AAPL,MSFT,F9,adam,0,0.4643102264927934,0.6283459162663005
AAPL,MSFT,F9,adam,1,0.4629375428963624,0.6283459162663005
AAPL,MSFT,F9,adam,2,0.45847632120796156,0.6283459162663005
AAPL,QQQ,F0,adam,0,0.6125600549073439,0.6125600549073438
AAPL,QQQ,F0,adam,1,0.6125600549073439,0.6125600549073438
AAPL,QQQ,F0,adam,2,0.6125600549073439,0.6125600549073438
AAPL,QQQ,F4,adam,0,0.5775566231983528,0.6125600549073438
AAPL,QQQ,F4,adam,1,0.5737817433081674,0.6125600549073438
AAPL,QQQ,F4,adam,2,0.5754975978037062,0.6125600549073438
AAPL,QQQ,F7,adam,0,0.4722031571722718,0.6125600549073438
AAPL,QQQ,F7,adam,1,0.4739190116678106,0.6125600549073438
AAPL,QQQ,F7,adam,2,0.4581331503088538,0.6125600549073438
AAPL,QQQ,F8,adam,0,0.4722031571722718,0.6125600549073438
AAPL,QQQ,F8,adam,1,0.4739190116678106,0.6125600549073438
AAPL,QQQ,F8,adam,2,0.4581331503088538,0.6125600549073438
AAPL,QQQ,F9,adam,0,0.4773507206588881,0.6125600549073438
AAPL,QQQ,F9,adam,1,0.4773507206588881,0.6125600549073438
AAPL,QQQ,F9,adam,2,0.4698009608785175,0.6125600549073438
AAPL,SPY,F0,adam,0,0.6187371310912835,0.6187371310912835
AAPL,SPY,F0,adam,1,0.6187371310912835,0.6187371310912835
AAPL,SPY,F0,adam,2,0.6187371310912835,0.6187371310912835
AAPL,SPY,F4,adam,0,0.5998627316403569,0.6187371310912835
AAPL,SPY,F4,adam,1,0.594028826355525,0.6187371310912835
AAPL,SPY,F4,adam,2,0.5998627316403569,0.6187371310912835
AAPL,SPY,F7,adam,0,0.4608785175017159,0.6187371310912835
AAPL,SPY,F7,adam,1,0.4608785175017159,0.6187371310912835
AAPL,SPY,F7,adam,2,0.4457789979409746,0.6187371310912835
AAPL,SPY,F8,adam,0,0.4608785175017159,0.6187371310912835
AAPL,SPY,F8,adam,1,0.4608785175017159,0.6187371310912835
AAPL,SPY,F8,adam,2,0.4457789979409746,0.6187371310912835
AAPL,SPY,F9,adam,0,0.4722031571722718,0.6187371310912835
AAPL,SPY,F9,adam,1,0.4708304735758408,0.6187371310912835
AAPL,SPY,F9,adam,2,0.4608785175017159,0.6187371310912835
BTC-USD,AAPL,F0,adam,0,0.6300617707618394,0.6310912834591627
BTC-USD,AAPL,F0,adam,1,0.3812628689087165,0.6310912834591627
BTC-USD,AAPL,F0,adam,2,0.37508579272477693,0.6310912834591627
BTC-USD,AAPL,F4,adam,0,0.4890185312285518,0.6310912834591627
BTC-USD,AAPL,F4,adam,1,0.5137268359643102,0.6310912834591627
BTC-USD,AAPL,F4,adam,2,0.5199039121482498,0.6310912834591627
BTC-USD,AAPL,F7,adam,0,0.4776938915579959,0.6310912834591627
BTC-USD,AAPL,F7,adam,1,0.4660260809883322,0.6310912834591627
BTC-USD,AAPL,F7,adam,2,0.48421413864104323,0.6310912834591627
BTC-USD,AAPL,F8,adam,0,0.4776938915579959,0.6310912834591627
BTC-USD,AAPL,F8,adam,1,0.4660260809883322,0.6310912834591627
BTC-USD,AAPL,F8,adam,2,0.48421413864104323,0.6310912834591627
BTC-USD,AAPL,F9,adam,0,0.47323266986959506,0.6310912834591627
BTC-USD,AAPL,F9,adam,1,0.47323266986959506,0.6310912834591627
BTC-USD,AAPL,F9,adam,2,0.47254632807137953,0.6310912834591627
BTC-USD,ETH-USD,F0,adam,0,0.5061770761839396,0.5085792724776939
BTC-USD,ETH-USD,F0,adam,1,0.5305422100205902,0.5085792724776939
BTC-USD,ETH-USD,F0,adam,2,0.5229924502402197,0.5085792724776939
BTC-USD,ETH-USD,F4,adam,0,0.4739190116678106,0.5085792724776939
BTC-USD,ETH-USD,F4,adam,1,0.47460535346602606,0.5085792724776939
BTC-USD,ETH-USD,F4,adam,2,0.4759780370624571,0.5085792724776939
BTC-USD,ETH-USD,F7,adam,0,0.4739190116678106,0.5085792724776939
BTC-USD,ETH-USD,F7,adam,1,0.4766643788606726,0.5085792724776939
BTC-USD,ETH-USD,F7,adam,2,0.4728894989704873,0.5085792724776939
BTC-USD,ETH-USD,F8,adam,0,0.4739190116678106,0.5085792724776939
BTC-USD,ETH-USD,F8,adam,1,0.4766643788606726,0.5085792724776939
BTC-USD,ETH-USD,F8,adam,2,0.4728894989704873,0.5085792724776939
BTC-USD,ETH-USD,F9,adam,0,0.4852436513383665,0.5085792724776939
BTC-USD,ETH-USD,F9,adam,1,0.48455730954015097,0.5085792724776939
BTC-USD,ETH-USD,F9,adam,2,0.48490048043925876,0.5085792724776939
BTC-USD,EURUSD=X,F0,adam,0,0.6479066575154427,0.6479066575154426
BTC-USD,EURUSD=X,F0,adam,1,0.3520933424845573,0.6479066575154426
BTC-USD,EURUSD=X,F0,adam,2,0.3520933424845573,0.6479066575154426
BTC-USD,EURUSD=X,F4,adam,0,0.46774193548387094,0.6479066575154426
BTC-USD,EURUSD=X,F4,adam,1,0.5614275909402883,0.6479066575154426
BTC-USD,EURUSD=X,F4,adam,2,0.5878517501715854,0.6479066575154426
