noise,filter,metric,optimizer,n_models,stouffer_z,stouffer_p,min_cohen_d,max_cohen_d
N3,F4,floor,sgd,3,9.222735828151079,1.44807340526395e-20,4.4174901142366885,11.101635234655564
N2,F3,t_eps,adam,3,4.83740749786118,6.577178452398507e-07,0.35523667136589526,2.7736159084532006
N1,F4,floor,sgd,3,-4.756543029807128,0.9999990153186173,-3.9476156396162243,-0.7877170111009333
N4,F4,floor,sgd,3,3.9959870929691026,3.221262203263778e-05,0.7120792324686727,1.2714853491858762
